"","Year","Reference_country","Scenario","Type","total","smoothed_cons","smoothed_cons_Mt"
"48",2015,"CH","SSP2","beef",7040652156.86105,6085256035.2385,6085.2560352385
"49",2020,"CH","SSP2","beef",8306751220.46406,7173717652.20165,7173.71765220165
"50",2025,"CH","SSP2","beef",9715153391.60118,8768562332.65996,8768.56233265996
"51",2030,"CH","SSP2","beef",11276433959.6585,10246426743.8948,10246.4267438948
"52",2040,"CH","SSP2","beef",14758221515.2986,14293670264.5421,14293.6702645421
"53",2050,"CH","SSP2","beef",18350674524.3005,19451664102.4649,19451.6641024649
"107",2015,"BR","SSP2","beef",18584863335.6969,11727540431.9763,11727.5404319763
"108",2020,"BR","SSP2","beef",23339516239.3713,17008417273.5214,17008.4172735214
"109",2025,"BR","SSP2","beef",28909535779.9783,23837092991.3521,23837.0929913521
"110",2030,"BR","SSP2","beef",35440039212.1426,32406082377.9106,32406.0823779106
"111",2035,"BR","SSP2","beef",42914860000.4391,42907900228.0235,42907.9002280235
"112",2040,"BR","SSP2","beef",51209061529.7814,55535061331.749,55535.061331749
"160",2015,"EG","SSP2","beef",8221197475.11277,6757405477.88143,6757.40547788143
"161",2020,"EG","SSP2","beef",9849332892.46965,8185728590.66725,8185.72859066725
"162",2025,"EG","SSP2","beef",11692668021.9121,10321360519.2304,10321.3605192304
"163",2030,"EG","SSP2","beef",13778041364.1326,12334365564.2867,12334.3655642867
"164",2040,"EG","SSP2","beef",18581578186.6498,17962677124.083,17962.677124083
"165",2050,"EG","SSP2","beef",23803776487.6616,25297934370.7561,25297.9343707561
"213",2015,"VN","SSP2","beef",3636209219.97707,4364642966.27045,4364.64296627045
"214",2020,"VN","SSP2","beef",4680569553.60216,5828003024.81651,5828.00302481651
"215",2025,"VN","SSP2","beef",6289645683.67642,8495286068.20107,8495.28606820107
"216",2030,"VN","SSP2","beef",8816689354.04858,11410141980.648,11410.141980648
"217",2040,"VN","SSP2","beef",18631651643.8245,21004447552.4426,21004.4475524426
"218",2050,"VN","SSP2","beef",39835433022.9591,35644259507.1793,35644.2595071793
"269",2015,"CH","SSP2","pork",19044193060.9821,9640262876.51062,9640.26287651062
"270",2020,"CH","SSP2","pork",24163085786.5924,15072517345.19,15072.51734519
"271",2025,"CH","SSP2","pork",30027076570.8127,22015934835.1955,22015.9348351955
"272",2030,"CH","SSP2","pork",36662666961.1703,30640405147.7909,30640.4051477909
"273",2040,"CH","SSP2","pork",51166476156.675,50942993061.7809,50942.9930617809
"274",2045,"CH","SSP2","pork",58021385004.5868,NA,NA
"322",2015,"BR","SSP2","pork",6504627054.00931,4222978038.311,4222.978038311
"323",2020,"BR","SSP2","pork",8206023137.32653,5821735698.52114,5821.73569852114
"324",2025,"BR","SSP2","pork",10207498215.6078,8295777333.85563,8295.77733385563
"325",2030,"BR","SSP2","pork",12565578438.5374,10691209031.2839,10691.2090312839
"326",2040,"BR","SSP2","pork",18310237126.2492,17594327451.5271,17594.3274515271
"327",2050,"BR","SSP2","pork",25024714043.2883,26864961195.7073,26864.9611957073
"375",2015,"EG","SSP2","pork",1475177825.74506,1365195747.5692,1365.1957475692
"376",2020,"EG","SSP2","pork",1655953510.44709,1551896731.47723,1551.89673147723
"377",2025,"EG","SSP2","pork",1842985241.88793,1791665596.10516,1791.66559610516
"378",2030,"EG","SSP2","pork",2033819923.43258,1986094388.98787,1986.09438898787
"379",2040,"EG","SSP2","pork",2415850341.08479,2420801872.18264,2420.80187218264
"380",2050,"EG","SSP2","pork",2777420678.22069,2832649996.33655,2832.64999633655
"428",2015,"VN","SSP2","pork",22200212183.6534,12867427708.4824,12867.4277084824
