Domain,Indicator,Item,Element,CountryCode,CountryName,Region,Scenario,Units,Year,Value
Market,"Commodity balances, volume",Beef and veal,Food use,AGO,Angola,Sub-Saharan Africa,Toward Sustainability,1000 tonnes,2012,179.141
Market,"Commodity balances, volume",Beef and veal,Food use,AGO,Angola,Sub-Saharan Africa,Toward Sustainability,1000 tonnes,2030,337.951
Market,"Commodity balances, volume",Beef and veal,Food use,AGO,Angola,Sub-Saharan Africa,Toward Sustainability,1000 tonnes,2035,378.976
Market,"Commodity balances, volume",Beef and veal,Food use,AGO,Angola,Sub-Saharan Africa,Toward Sustainability,1000 tonnes,2040,436.144
Market,"Commodity balances, volume",Beef and veal,Food use,AGO,Angola,Sub-Saharan Africa,Toward Sustainability,1000 tonnes,2050,659.033
Market,"Commodity balances, volume",Beef and veal,Food use,AGO,Angola,Sub-Saharan Africa,Business As Usual,1000 tonnes,2012,179.141
Market,"Commodity balances, volume",Beef and veal,Food use,AGO,Angola,Sub-Saharan Africa,Business As Usual,1000 tonnes,2030,332.568
Market,"Commodity balances, volume",Beef and veal,Food use,AGO,Angola,Sub-Saharan Africa,Business As Usual,1000 tonnes,2035,357.363
Market,"Commodity balances, volume",Beef and veal,Food use,AGO,Angola,Sub-Saharan Africa,Business As Usual,1000 tonnes,2040,378.551
Market,"Commodity balances, volume",Beef and veal,Food use,AGO,Angola,Sub-Saharan Africa,Business As Usual,1000 tonnes,2050,438.026
Market,"Commodity balances, volume",Beef and veal,Food use,AGO,Angola,Sub-Saharan Africa,Stratified Societies,1000 tonnes,2012,179.141
Market,"Commodity balances, volume",Beef and veal,Food use,AGO,Angola,Sub-Saharan Africa,Stratified Societies,1000 tonnes,2030,392.013
Market,"Commodity balances, volume",Beef and veal,Food use,AGO,Angola,Sub-Saharan Africa,Stratified Societies,1000 tonnes,2035,425.137
Market,"Commodity balances, volume",Beef and veal,Food use,AGO,Angola,Sub-Saharan Africa,Stratified Societies,1000 tonnes,2040,445.13
Market,"Commodity balances, volume",Beef and veal,Food use,AGO,Angola,Sub-Saharan Africa,Stratified Societies,1000 tonnes,2050,493.403
Market,"Commodity balances, volume",Beef and veal,Food use,BEN,Benin,Sub-Saharan Africa,Toward Sustainability,1000 tonnes,2012,31.288
