Domain,Area,Item,Year,Unit,Value,Flag Description
Producer Prices - Annual,Albania,"Meat, cattle",1993,USD,3116.4,Official data
Producer Prices - Annual,Albania,"Meat, cattle",1994,USD,2071.4,Official data
Producer Prices - Annual,Albania,"Meat, cattle",1995,USD,2481.2,Official data
Producer Prices - Annual,Albania,"Meat, cattle",1996,USD,2870.8,Official data
Producer Prices - Annual,Albania,"Meat, cattle",1997,USD,2350.1,Official data
Producer Prices - Annual,Albania,"Meat, cattle",1998,USD,3100.2,Official data
Producer Prices - Annual,Albania,"Meat, cattle",1999,USD,3595,Official data
Producer Prices - Annual,Albania,"Meat, cattle",2000,USD,3660.2,Official data
Producer Prices - Annual,Albania,"Meat, cattle",2001,USD,3895.9,Official data
Producer Prices - Annual,Albania,"Meat, cattle",2002,USD,4231,Official data
Producer Prices - Annual,Albania,"Meat, cattle",2003,USD,4997.4,Official data
Producer Prices - Annual,Albania,"Meat, cattle",2004,USD,6032.3,Official data
Producer Prices - Annual,Albania,"Meat, cattle",2005,USD,5547.2,Official data
Producer Prices - Annual,Albania,"Meat, cattle",2006,USD,5463.6,Official data
Producer Prices - Annual,Albania,"Meat, cattle",2007,USD,5927.4,Official data
Producer Prices - Annual,Albania,"Meat, cattle",2008,USD,6708.4,Official data
Producer Prices - Annual,Albania,"Meat, cattle",2009,USD,7054.3,Official data
Producer Prices - Annual,Albania,"Meat, cattle",2010,USD,6494.4,Official data
Producer Prices - Annual,Albania,"Meat, cattle",2011,USD,7572.2,Official data
Producer Prices - Annual,Albania,"Meat, cattle",2012,USD,6493.5,Official data
Producer Prices - Annual,Albania,"Meat, cattle",2013,USD,6731.6,Calculated data
Producer Prices - Annual,Albania,"Meat, cattle",2014,USD,6451.5,Calculated data
Producer Prices - Annual,Albania,"Meat, cattle",2015,USD,5702.6,Calculated data
Producer Prices - Annual,Albania,"Meat, cattle",2016,USD,5771.4,Calculated data
Producer Prices - Annual,Albania,"Meat, cattle",2017,USD,6037,Calculated data
Producer Prices - Annual,Albania,"Meat, cattle",2018,USD,6735.7,Calculated data
Producer Prices - Annual,Albania,"Meat, chicken",1998,USD,1560.1,Official data
Producer Prices - Annual,Albania,"Meat, chicken",1999,USD,1815.7,Official data
Producer Prices - Annual,Albania,"Meat, chicken",2000,USD,1739.6,Official data
Producer Prices - Annual,Albania,"Meat, chicken",2001,USD,1832.9,Official data
Producer Prices - Annual,Albania,"Meat, chicken",2002,USD,1990.7,Official data
Producer Prices - Annual,Albania,"Meat, chicken",2003,USD,2387.9,Official data
Producer Prices - Annual,Albania,"Meat, chicken",2004,USD,2841,Official data
Producer Prices - Annual,Albania,"Meat, chicken",2005,USD,2713.5,Official data
Producer Prices - Annual,Albania,"Meat, chicken",2006,USD,2762.4,Official data
Producer Prices - Annual,Albania,"Meat, chicken",2007,USD,2952.6,Official data
Producer Prices - Annual,Albania,"Meat, chicken",2008,USD,3182.6,Official data
Producer Prices - Annual,Albania,"Meat, chicken",2009,USD,3337.6,Official data
Producer Prices - Annual,Albania,"Meat, chicken",2010,USD,3049.9,Official data
Producer Prices - Annual,Albania,"Meat, chicken",2011,USD,3350,Official data
Producer Prices - Annual,Albania,"Meat, chicken",2012,USD,4528.2,Official data
Producer Prices - Annual,Albania,"Meat, chicken",2013,USD,4807.5,Calculated data
Producer Prices - Annual,Albania,"Meat, chicken",2014,USD,5728.4,Calculated data
Producer Prices - Annual,Albania,"Meat, chicken",2015,USD,3660.9,Calculated data
Producer Prices - Annual,Albania,"Meat, chicken",2016,USD,3216.3,Calculated data
Producer Prices - Annual,Albania,"Meat, chicken",2017,USD,3292.9,Calculated data
Producer Prices - Annual,Albania,"Meat, chicken",2018,USD,3773.1,Calculated data
Producer Prices - Annual,Albania,"Meat, goat",1993,USD,4330.4,Calculated data
Producer Prices - Annual,Albania,"Meat, goat",1994,USD,3438,Calculated data
Producer Prices - Annual,Albania,"Meat, goat",1995,USD,1723.2,Calculated data
Producer Prices - Annual,Albania,"Meat, goat",1996,USD,1965.3,Calculated data
Producer Prices - Annual,Albania,"Meat, goat",1997,USD,1762,Calculated data
Producer Prices - Annual,Albania,"Meat, goat",1998,USD,2788.2,Official data
Producer Prices - Annual,Albania,"Meat, goat",1999,USD,3159.3,Official data
Producer Prices - Annual,Albania,"Meat, goat",2000,USD,3298.3,Official data
Producer Prices - Annual,Albania,"Meat, goat",2001,USD,3338.3,Official data
Producer Prices - Annual,Albania,"Meat, goat",2002,USD,3546.1,Official data
Producer Prices - Annual,Albania,"Meat, goat",2003,USD,4152.2,Official data
Producer Prices - Annual,Albania,"Meat, goat",2004,USD,4962.1,Official data
Producer Prices - Annual,Albania,"Meat, goat",2005,USD,4836.3,Official data
Producer Prices - Annual,Albania,"Meat, goat",2006,USD,4892.8,Official data
Producer Prices - Annual,Albania,"Meat, goat",2007,USD,5308.1,Official data
Producer Prices - Annual,Albania,"Meat, goat",2008,USD,5661.9,Official data
Producer Prices - Annual,Albania,"Meat, goat",2009,USD,7075.3,Official data
Producer Prices - Annual,Albania,"Meat, goat",2010,USD,6494.4,Official data
Producer Prices - Annual,Albania,"Meat, goat",2011,USD,7562.3,Official data
Producer Prices - Annual,Albania,"Meat, goat",2012,USD,7032.2,Official data
Producer Prices - Annual,Albania,"Meat, goat",2013,USD,5172.3,Calculated data
Producer Prices - Annual,Albania,"Meat, goat",2014,USD,4184.5,Calculated data
Producer Prices - Annual,Albania,"Meat, goat",2015,USD,4674.8,Calculated data
Producer Prices - Annual,Albania,"Meat, goat",2016,USD,3615.2,Calculated data
Producer Prices - Annual,Albania,"Meat, goat",2017,USD,3779.3,Calculated data
Producer Prices - Annual,Albania,"Meat, pig",1993,USD,2502.1,Official data
Producer Prices - Annual,Albania,"Meat, pig",1994,USD,2078.8,Official data
Producer Prices - Annual,Albania,"Meat, pig",1995,USD,2481.2,Official data
Producer Prices - Annual,Albania,"Meat, pig",1996,USD,2679.5,Official data
Producer Prices - Annual,Albania,"Meat, pig",1997,USD,2014.3,Official data
Producer Prices - Annual,Albania,"Meat, pig",1998,USD,2290.3,Official data
Producer Prices - Annual,Albania,"Meat, pig",1999,USD,2614.6,Official data
Producer Prices - Annual,Albania,"Meat, pig",2000,USD,2748.6,Official data
Producer Prices - Annual,Albania,"Meat, pig",2001,USD,2822.6,Official data
Producer Prices - Annual,Albania,"Meat, pig",2002,USD,3353.4,Official data
Producer Prices - Annual,Albania,"Meat, pig",2003,USD,4012.7,Official data
Producer Prices - Annual,Albania,"Meat, pig",2004,USD,4757.7,Official data
Producer Prices - Annual,Albania,"Meat, pig",2005,USD,4375.7,Official data
Producer Prices - Annual,Albania,"Meat, pig",2006,USD,4077.3,Official data
Producer Prices - Annual,Albania,"Meat, pig",2007,USD,4644.6,Official data
Producer Prices - Annual,Albania,"Meat, pig",2008,USD,5006.3,Official data
Producer Prices - Annual,Albania,"Meat, pig",2009,USD,5474.9,Official data
Producer Prices - Annual,Albania,"Meat, pig",2010,USD,5031.9,Official data
Producer Prices - Annual,Albania,"Meat, pig",2011,USD,5580.1,Official data
Producer Prices - Annual,Albania,"Meat, pig",2012,USD,5546.1,Official data
Producer Prices - Annual,Albania,"Meat, pig",2013,USD,4202.9,Calculated data
Producer Prices - Annual,Albania,"Meat, pig",2014,USD,5028.4,Calculated data
Producer Prices - Annual,Albania,"Meat, pig",2015,USD,4025,Calculated data
Producer Prices - Annual,Albania,"Meat, pig",2016,USD,4099.6,Calculated data
Producer Prices - Annual,Albania,"Meat, pig",2017,USD,4355.4,Calculated data
Producer Prices - Annual,Albania,"Meat, pig",2018,USD,4890.6,Calculated data
Producer Prices - Annual,Algeria,"Meat, cattle",1995,USD,1678.5,Official data
Producer Prices - Annual,Algeria,"Meat, cattle",2002,USD,5145.5,Official data
Producer Prices - Annual,Algeria,"Meat, cattle",2003,USD,5775.6,Official data
Producer Prices - Annual,Algeria,"Meat, cattle",2004,USD,7493.7,Official data
Producer Prices - Annual,Algeria,"Meat, cattle",2005,USD,6755.3,Official data
Producer Prices - Annual,Algeria,"Meat, cattle",2006,USD,6717.4,Official data
Producer Prices - Annual,Algeria,"Meat, cattle",2007,USD,6595.2,Official data
Producer Prices - Annual,Algeria,"Meat, cattle",2008,USD,7385.9,Official data
Producer Prices - Annual,Algeria,"Meat, cattle",2009,USD,8080.1,Official data
Producer Prices - Annual,Algeria,"Meat, cattle",2010,USD,8254.2,Official data
Producer Prices - Annual,Algeria,"Meat, cattle",2011,USD,9213.3,Official data
Producer Prices - Annual,Algeria,"Meat, cattle",2012,USD,9892.2,Official data
Producer Prices - Annual,Algeria,"Meat, cattle",2013,USD,10608.8,Official data
Producer Prices - Annual,Algeria,"Meat, cattle",2014,USD,10081.2,Official data
Producer Prices - Annual,Algeria,"Meat, cattle",2015,USD,7657.1,Official data
Producer Prices - Annual,Algeria,"Meat, cattle",2016,USD,6852.9,Official data
Producer Prices - Annual,Algeria,"Meat, cattle",2017,USD,6938.6,Official data
Producer Prices - Annual,Algeria,"Meat, cattle",2018,USD,8276.9,Official data
Producer Prices - Annual,Algeria,"Meat, chicken",1996,USD,2082.2,Official data
Producer Prices - Annual,Algeria,"Meat, chicken",1997,USD,2044.8,Official data
Producer Prices - Annual,Algeria,"Meat, chicken",1998,USD,2008.9,Official data
Producer Prices - Annual,Algeria,"Meat, chicken",1999,USD,1772.5,Official data
Producer Prices - Annual,Algeria,"Meat, chicken",2002,USD,1719.3,Official data
Producer Prices - Annual,Algeria,"Meat, chicken",2003,USD,2222.4,Official data
Producer Prices - Annual,Algeria,"Meat, chicken",2004,USD,2206.5,Official data
Producer Prices - Annual,Algeria,"Meat, chicken",2005,USD,2483.7,Official data
Producer Prices - Annual,Algeria,"Meat, chicken",2006,USD,2491.5,Official data
Producer Prices - Annual,Algeria,"Meat, chicken",2007,USD,2742,Official data
Producer Prices - Annual,Algeria,"Meat, chicken",2008,USD,3360,Official data
Producer Prices - Annual,Algeria,"Meat, chicken",2009,USD,3262.3,Official data
Producer Prices - Annual,Algeria,"Meat, chicken",2010,USD,2769.3,Official data
Producer Prices - Annual,Algeria,"Meat, chicken",2011,USD,3249.3,Official data
Producer Prices - Annual,Algeria,"Meat, chicken",2012,USD,3624.1,Official data
Producer Prices - Annual,Algeria,"Meat, chicken",2013,USD,3137.3,Official data
Producer Prices - Annual,Algeria,"Meat, chicken",2014,USD,3102.5,Official data
Producer Prices - Annual,Algeria,"Meat, chicken",2015,USD,2631.8,Official data
Producer Prices - Annual,Algeria,"Meat, chicken",2016,USD,2339.1,Official data
Producer Prices - Annual,Algeria,"Meat, chicken",2017,USD,2180.7,Official data
Producer Prices - Annual,Algeria,"Meat, chicken",2018,USD,2453,Official data
Producer Prices - Annual,Antigua and Barbuda,"Meat, cattle",1998,USD,3259.3,Official data
Producer Prices - Annual,Antigua and Barbuda,"Meat, cattle",1999,USD,3259.3,Official data
Producer Prices - Annual,Antigua and Barbuda,"Meat, cattle",2000,USD,3259.3,Official data
Producer Prices - Annual,Antigua and Barbuda,"Meat, cattle",2001,USD,3259.3,Official data
Producer Prices - Annual,Antigua and Barbuda,"Meat, cattle",2002,USD,4074.1,Official data
Producer Prices - Annual,Antigua and Barbuda,"Meat, cattle",2003,USD,4074.1,Official data
Producer Prices - Annual,Antigua and Barbuda,"Meat, cattle",2004,USD,4074.1,Official data
Producer Prices - Annual,Antigua and Barbuda,"Meat, cattle",2005,USD,4074.1,Official data
Producer Prices - Annual,Antigua and Barbuda,"Meat, cattle",2006,USD,4074.1,Official data
Producer Prices - Annual,Antigua and Barbuda,"Meat, cattle",2007,USD,5296.3,Official data
Producer Prices - Annual,Antigua and Barbuda,"Meat, cattle",2008,USD,5296.3,Official data
Producer Prices - Annual,Antigua and Barbuda,"Meat, chicken",1998,USD,3666.7,Official data
Producer Prices - Annual,Antigua and Barbuda,"Meat, chicken",1999,USD,3666.7,Official data
Producer Prices - Annual,Antigua and Barbuda,"Meat, chicken",2000,USD,3666.7,Official data
Producer Prices - Annual,Antigua and Barbuda,"Meat, chicken",2001,USD,3666.7,Official data
Producer Prices - Annual,Antigua and Barbuda,"Meat, chicken",2002,USD,3666.7,Official data
Producer Prices - Annual,Antigua and Barbuda,"Meat, chicken",2003,USD,3666.7,Official data
Producer Prices - Annual,Antigua and Barbuda,"Meat, chicken",2004,USD,3666.7,Official data
Producer Prices - Annual,Antigua and Barbuda,"Meat, chicken",2005,USD,3666.7,Official data
Producer Prices - Annual,Antigua and Barbuda,"Meat, chicken",2006,USD,3666.7,Official data
Producer Prices - Annual,Antigua and Barbuda,"Meat, chicken",2007,USD,3666.7,Official data
Producer Prices - Annual,Antigua and Barbuda,"Meat, chicken",2008,USD,3666.7,Official data
Producer Prices - Annual,Antigua and Barbuda,"Meat, goat",1998,USD,5703.7,Official data
Producer Prices - Annual,Antigua and Barbuda,"Meat, goat",1999,USD,5703.7,Official data
Producer Prices - Annual,Antigua and Barbuda,"Meat, goat",2000,USD,5703.7,Official data
Producer Prices - Annual,Antigua and Barbuda,"Meat, goat",2001,USD,5703.7,Official data
Producer Prices - Annual,Antigua and Barbuda,"Meat, goat",2002,USD,5703.7,Official data
Producer Prices - Annual,Antigua and Barbuda,"Meat, goat",2003,USD,5703.7,Official data
Producer Prices - Annual,Antigua and Barbuda,"Meat, goat",2004,USD,5703.7,Official data
Producer Prices - Annual,Antigua and Barbuda,"Meat, goat",2005,USD,5703.7,Official data
Producer Prices - Annual,Antigua and Barbuda,"Meat, goat",2006,USD,5703.7,Official data
Producer Prices - Annual,Antigua and Barbuda,"Meat, goat",2007,USD,6518.5,Official data
Producer Prices - Annual,Antigua and Barbuda,"Meat, goat",2008,USD,6518.5,Official data
Producer Prices - Annual,Antigua and Barbuda,"Meat, pig",1998,USD,4074.1,Official data
Producer Prices - Annual,Antigua and Barbuda,"Meat, pig",1999,USD,4074.1,Official data
Producer Prices - Annual,Antigua and Barbuda,"Meat, pig",2000,USD,4074.1,Official data
Producer Prices - Annual,Antigua and Barbuda,"Meat, pig",2001,USD,4074.1,Official data
Producer Prices - Annual,Antigua and Barbuda,"Meat, pig",2002,USD,4074.1,Official data
Producer Prices - Annual,Antigua and Barbuda,"Meat, pig",2003,USD,4074.1,Official data
