"Year","SSP_Scenario","Scenario_region","Population","Type","Total_kg","total_Kt"
2015,"SSP1","Central Europe",900712443.824514,"beef_tot",6987884388.57139,6987.88438857139
2015,"SSP1","East Asia",900712443.824514,"beef_tot",5366618892.34261,5366.61889234261
2015,"SSP1","North Africa and Middle East",900712443.824514,"beef_tot",5598739151.52888,5598.73915152888
2015,"SSP1","Central Latin America",900712443.824514,"beef_tot",6404215605.05571,6404.21560505571
2015,"SSP2","North Africa and Middle East",910603596.138927,"beef_tot",5650543782.35106,5650.54378235106
2015,"SSP2","Central Europe",910603596.138927,"beef_tot",7057194611.45152,7057.19461145152
2015,"SSP2","Central Latin America",910603596.138927,"beef_tot",6463984074.07764,6463.98407407764
2015,"SSP2","East Asia",910603596.138927,"beef_tot",5416926662.75702,5416.92666275702
2015,"SSP3","North Africa and Middle East",918630017.638777,"beef_tot",5708968285.95998,5708.96828595998
2015,"SSP3","Central Latin America",918630017.638777,"beef_tot",6530614978.41335,6530.61497841335
2015,"SSP3","East Asia",918630017.638777,"beef_tot",5475017586.03498,5475.01758603498
2015,"SSP3","Central Europe",918630017.638777,"beef_tot",7133246393.14136,7133.24639314136
2015,"SSP4","Central Latin America",918135325.131269,"beef_tot",6522781403.17544,6522.78140317544
2015,"SSP4","East Asia",918135325.131269,"beef_tot",5478904643.49733,5478.90464349733
2015,"SSP4","North Africa and Middle East",918135325.131269,"beef_tot",5707203815.94508,5707.20381594508
2015,"SSP4","Central Europe",918135325.131269,"beef_tot",7129405060.42075,7129.40506042075
2015,"SSP5","East Asia",900141094.224691,"beef_tot",5362658618.79592,5362.65861879592
2015,"SSP5","Central Europe",900141094.224691,"beef_tot",6987930860.71271,6987.93086071271
2015,"SSP5","Central Latin America",900141094.224691,"beef_tot",6408316143.68221,6408.31614368221
2015,"SSP5","North Africa and Middle East",900141094.224691,"beef_tot",5603726437.54491,5603.72643754491
2020,"SSP1","Central Europe",996712840.31437,"beef_tot",7773933802.62422,7773.93380262422
2020,"SSP1","East Asia",996712840.31437,"beef_tot",5979341587.33348,5979.34158733348
2020,"SSP1","North Africa and Middle East",996712840.31437,"beef_tot",6068102971.27114,6068.10297127114
2020,"SSP1","Central Latin America",996712840.31437,"beef_tot",6968496812.98408,6968.49681298408
2020,"SSP2","North Africa and Middle East",1022193524.96734,"beef_tot",6193760927.52673,6193.76092752673
2020,"SSP2","Central Europe",1022193524.96734,"beef_tot",7953193883.31315,7953.19388331315
2020,"SSP2","Central Latin America",1022193524.96734,"beef_tot",7106219896.69486,7106.21989669486
2020,"SSP2","East Asia",1022193524.96734,"beef_tot",6080020131.64214,6080.02013164214
2020,"SSP3","North Africa and Middle East",1045757432.98215,"beef_tot",6358428864.27707,6358.42886427707
2020,"SSP3","Central Latin America",1045757432.98215,"beef_tot",7255071915.03337,7255.07191503337
2020,"SSP3","East Asia",1045757432.98215,"beef_tot",6214451533.05018,6214.45153305018
2020,"SSP3","Central Europe",1045757432.98215,"beef_tot",8143014674.78053,8143.01467478053
2020,"SSP4","Central Latin America",1044232336.73396,"beef_tot",7237530981.97352,7237.53098197352
2020,"SSP4","East Asia",1044232336.73396,"beef_tot",6206240835.95836,6206.24083595836
2020,"SSP4","North Africa and Middle East",1044232336.73396,"beef_tot",6345563213.52548,6345.56321352548
2020,"SSP4","Central Europe",1044232336.73396,"beef_tot",8121897149.24426,8121.89714924426
2020,"SSP5","East Asia",994750142.535825,"beef_tot",6022298565.3134,6022.2985653134
2020,"SSP5","Central Europe",994750142.535825,"beef_tot",7791348126.50542,7791.34812650542
2020,"SSP5","Central Latin America",994750142.535825,"beef_tot",6996802198.98287,6996.80219898287
2020,"SSP5","North Africa and Middle East",994750142.535825,"beef_tot",6091957724.33144,6091.95772433144
2025,"SSP1","Central Europe",1091533249.81059,"beef_tot",9009503618.99306,9009.50361899306
2025,"SSP1","East Asia",1091533249.81059,"beef_tot",7221303144.83501,7221.30314483501
2025,"SSP1","North Africa and Middle East",1091533249.81059,"beef_tot",7061749913.67531,7061.74991367531
2025,"SSP1","Central Latin America",1091533249.81059,"beef_tot",8222940146.15212,8222.94014615212
2025,"SSP2","North Africa and Middle East",1137645211.04193,"beef_tot",7138919451.01034,7138.91945101034
2025,"SSP2","Central Europe",1137645211.04193,"beef_tot",9227907323.66364,9227.90732366365
