"Year","SSP_Scenario","Scenario_region","Population","Type","Total_kg","total_Kt"
2015,"SSP1","Central Europe",900712443.824514,"beef",7074948289.92565,7074.94828992565
2015,"SSP1","East Asia",900712443.824514,"beef",5587320612.57168,5587.32061257168
2015,"SSP1","North Africa and Middle East",900712443.824514,"beef",5734681761.29999,5734.68176129999
2015,"SSP1","Central Latin America",900712443.824514,"beef",6720699143.74915,6720.69914374915
2015,"SSP2","North Africa and Middle East",910603596.138927,"beef",5813670278.98309,5813.67027898309
2015,"SSP2","Central Europe",910603596.138927,"beef",7154206560.53759,7154.20656053759
2015,"SSP2","Central Latin America",910603596.138927,"beef",6783696259.52672,6783.69625952672
2015,"SSP2","East Asia",910603596.138927,"beef",5650385734.81104,5650.38573481104
2015,"SSP3","North Africa and Middle East",918630017.638777,"beef",5855697150.85449,5855.69715085449
2015,"SSP3","Central Latin America",918630017.638777,"beef",6840813872.67882,6840.81387267882
2015,"SSP3","East Asia",918630017.638777,"beef",5692256196.85266,5692.25619685266
2015,"SSP3","Central Europe",918630017.638777,"beef",7215590255.38855,7215.59025538855
2015,"SSP4","Central Latin America",918135325.131269,"beef",6848440133.71491,6848.44013371491
2015,"SSP4","East Asia",918135325.131269,"beef",5689190853.42024,5689.19085342024
2015,"SSP4","North Africa and Middle East",918135325.131269,"beef",5852543792.64592,5852.54379264592
2015,"SSP4","Central Europe",918135325.131269,"beef",7211704579.57995,7211.70457957995
2015,"SSP5","East Asia",900141094.224691,"beef",5585589158.87046,5585.58915887046
2015,"SSP5","Central Europe",900141094.224691,"beef",7069263566.49592,7069.26356649592
2015,"SSP5","Central Latin America",900141094.224691,"beef",6727358181.06802,6727.35818106802
2015,"SSP5","North Africa and Middle East",900141094.224691,"beef",5729507406.8792,5729.5074068792
2020,"SSP1","Central Europe",996712840.31437,"beef",7747647767.79609,7747.64776779609
2020,"SSP1","East Asia",996712840.31437,"beef",6018121231.72012,6018.12123172012
2020,"SSP1","North Africa and Middle East",996712840.31437,"beef",6071504752.19513,6071.50475219513
2020,"SSP1","Central Latin America",996712840.31437,"beef",7177876125.09574,7177.87612509574
2020,"SSP2","North Africa and Middle East",1022193524.96734,"beef",6177895757.93733,6177.89575793733
2020,"SSP2","Central Europe",1022193524.96734,"beef",7886335234.91871,7886.33523491871
2020,"SSP2","Central Latin America",1022193524.96734,"beef",7337461785.54223,7337.46178554223
2020,"SSP2","East Asia",1022193524.96734,"beef",6068263397.15268,6068.26339715268
2020,"SSP3","North Africa and Middle East",1045757432.98215,"beef",6327563420.78905,6327.56342078905
2020,"SSP3","Central Latin America",1045757432.98215,"beef",7527258920.80144,7527.25892080144
2020,"SSP3","East Asia",1045757432.98215,"beef",6201255261.09765,6201.25526109765
2020,"SSP3","Central Europe",1045757432.98215,"beef",8053114215.68244,8053.11421568244
2020,"SSP4","Central Latin America",1044232336.73396,"beef",7516281428.33782,7516.28142833782
2020,"SSP4","East Asia",1044232336.73396,"beef",6196210511.97322,6196.21051197322
2020,"SSP4","North Africa and Middle East",1044232336.73396,"beef",6326914471.26893,6326.91447126893
2020,"SSP4","Central Europe",1044232336.73396,"beef",8041369834.15638,8041.36983415638
2020,"SSP5","East Asia",994750142.535825,"beef",6018072515.38742,6018.07251538742
2020,"SSP5","Central Europe",994750142.535825,"beef",7728628533.95795,7728.62853395795
2020,"SSP5","Central Latin America",994750142.535825,"beef",7155575717.93659,7155.57571793659
2020,"SSP5","North Africa and Middle East",994750142.535825,"beef",6042730208.23407,6042.73020823407
2025,"SSP1","Central Europe",1091533249.81059,"beef",9498065810.4015,9498.0658104015
2025,"SSP1","East Asia",1091533249.81059,"beef",7723595156.90581,7723.59515690581
2025,"SSP1","North Africa and Middle East",1091533249.81059,"beef",7180854231.84863,7180.85423184863
2025,"SSP1","Central Latin America",1091533249.81059,"beef",8804925477.25452,8804.92547725452
2025,"SSP2","North Africa and Middle East",1137645211.04193,"beef",7033929889.88808,7033.92988988808
2025,"SSP2","Central Europe",1137645211.04193,"beef",9209569223.23394,9209.56922323394
2025,"SSP2","Central Latin America",1137645211.04193,"beef",8562056917.37078,8562.05691737078
2025,"SSP2","East Asia",1137645211.04193,"beef",7335960450.28224,7335.96045028224
2025,"SSP3","North Africa and Middle East",1185186940.95101,"beef",7039877707.12408,7039.87770712408
2025,"SSP3","Central Latin America",1185186940.95101,"beef",8620570386.25063,8620.57038625063
2025,"SSP3","East Asia",1185186940.95101,"beef",7085495331.43451,7085.49533143451
2025,"SSP3","Central Europe",1185186940.95101,"beef",9253554848.95509,9253.55484895509
2025,"SSP4","Central Latin America",1181892226.26957,"beef",8583301797.58213,8583.30179758213
2025,"SSP4","East Asia",1181892226.26957,"beef",7064513959.34305,7064.51395934305
2025,"SSP4","North Africa and Middle East",1181892226.26957,"beef",7020566009.79659,7020.56600979659
2025,"SSP4","Central Europe",1181892226.26957,"beef",9214526619.56635,9214.52661956635
2025,"SSP5","East Asia",1087101836.11198,"beef",8014479001.2105,8014.4790012105
2025,"SSP5","Central Europe",1087101836.11198,"beef",9660156210.23252,9660.15621023252
2025,"SSP5","Central Latin America",1087101836.11198,"beef",9154156679.90627,9154.15667990627
2025,"SSP5","North Africa and Middle East",1087101836.11198,"beef",7434310321.77667,7434.31032177667
2030,"SSP1","Central Europe",1181202385.29684,"beef",12158576530.1774,12158.5765301774
2030,"SSP1","East Asia",1181202385.29684,"beef",10004540533.5992,10004.5405335992
2030,"SSP1","North Africa and Middle East",1181202385.29684,"beef",8913513083.62998,8913.51308362998
2030,"SSP1","Central Latin America",1181202385.29684,"beef",11065784340.408,11065.784340408
2030,"SSP2","North Africa and Middle East",1255444397.1806,"beef",8547509858.41254,8547.50985841254
2030,"SSP2","Central Europe",1255444397.1806,"beef",11523397397.2983,11523.3973972983
2030,"SSP2","Central Latin America",1255444397.1806,"beef",10520275224.1441,10520.2752241441
2030,"SSP2","East Asia",1255444397.1806,"beef",9450422773.6449,9450.4227736449
2030,"SSP3","North Africa and Middle East",1337405242.76044,"beef",7979761176.77929,7979.76117677929
2030,"SSP3","Central Latin America",1337405242.76044,"beef",9709936100.72132,9709.93610072132
2030,"SSP3","East Asia",1337405242.76044,"beef",8213484137.43205,8213.48413743205
2030,"SSP3","Central Europe",1337405242.76044,"beef",10837450227.7879,10837.4502277879
2030,"SSP4","Central Latin America",1331684743.97647,"beef",9690788999.00332,9690.78899900332
2030,"SSP4","East Asia",1331684743.97647,"beef",8282616130.4221,8282.6161304221
2030,"SSP4","North Africa and Middle East",1331684743.97647,"beef",7940131006.54421,7940.13100654421
2030,"SSP4","Central Europe",1331684743.97647,"beef",10879237293.3072,10879.2372933072
2030,"SSP5","East Asia",1173819717.37501,"beef",10156472323.7525,10156.4723237525
2030,"SSP5","Central Europe",1173819717.37501,"beef",12350932151.5373,12350.9321515373
2030,"SSP5","Central Latin America",1173819717.37501,"beef",11027092153.6504,11027.0921536504
2030,"SSP5","North Africa and Middle East",1173819717.37501,"beef",9135813273.85469,9135.81327385469
2035,"SSP1","Central Europe",1268628968.5527,"beef",14121981694.5263,14121.9816945263
2035,"SSP1","East Asia",1268628968.5527,"beef",11460617410.0816,11460.6174100816
2035,"SSP1","North Africa and Middle East",1268628968.5527,"beef",10350611852.2485,10350.6118522485
2035,"SSP1","Central Latin America",1268628968.5527,"beef",12942876982.6295,12942.8769826295
2035,"SSP2","North Africa and Middle East",1373973759.14438,"beef",10344749070.7236,10344.7490707236
2035,"SSP2","Central Europe",1373973759.14438,"beef",14519347836.9045,14519.3478369045
2035,"SSP2","Central Latin America",1373973759.14438,"beef",13004508726.6503,13004.5087266503
2035,"SSP2","East Asia",1373973759.14438,"beef",11911980057.6566,11911.9800576566
2035,"SSP3","North Africa and Middle East",1495467392.44111,"beef",9186975272.2846,9186.9752722846
2035,"SSP3","Central Latin America",1495467392.44111,"beef",11338933545.4223,11338.9335454223
2035,"SSP3","East Asia",1495467392.44111,"beef",10080794531.551,10080.794531551
2035,"SSP3","Central Europe",1495467392.44111,"beef",12951263774.363,12951.263774363
2035,"SSP4","Central Latin America",1486389922.16878,"beef",11543372073.0196,11543.3720730196
2035,"SSP4","East Asia",1486389922.16878,"beef",10358067004.0134,10358.0670040134
2035,"SSP4","North Africa and Middle East",1486389922.16878,"beef",9326919073.13131,9326.91907313131
2035,"SSP4","Central Europe",1486389922.16878,"beef",13154300649.4105,13154.3006494105
2035,"SSP5","East Asia",1257851769.39312,"beef",11891230956.2101,11891.2309562101
2035,"SSP5","Central Europe",1257851769.39312,"beef",14481251831.6329,14481.2518316329
2035,"SSP5","Central Latin America",1257851769.39312,"beef",14180688326.0381,14180.6883260381
2035,"SSP5","North Africa and Middle East",1257851769.39312,"beef",10874254451.3758,10874.2544513758
2040,"SSP1","Central Europe",1350538145.01664,"beef",15661597745.7041,15661.5977457041
2040,"SSP1","East Asia",1350538145.01664,"beef",13154441642.5565,13154.4416425565
2040,"SSP1","North Africa and Middle East",1350538145.01664,"beef",12117432857.2457,12117.4328572457
2040,"SSP1","Central Latin America",1350538145.01664,"beef",16245786804.395,16245.786804395
2040,"SSP2","North Africa and Middle East",1491265642.64493,"beef",11731963939.9068,11731.9639399068
2040,"SSP2","Central Europe",1491265642.64493,"beef",16497985697.0354,16497.9856970354
2040,"SSP2","Central Latin America",1491265642.64493,"beef",14447813225.9236,14447.8132259236
2040,"SSP2","East Asia",1491265642.64493,"beef",13136474327.9682,13136.4743279682
2040,"SSP3","North Africa and Middle East",1659910200.50307,"beef",10565715962.5383,10565.7159625383
2040,"SSP3","Central Latin America",1659910200.50307,"beef",12851953347.1391,12851.9533471391
2040,"SSP3","East Asia",1659910200.50307,"beef",11531704879.8443,11531.7048798443
2040,"SSP3","Central Europe",1659910200.50307,"beef",15122857568.1537,15122.8575681537
2040,"SSP4","Central Latin America",1646655145.30006,"beef",13240974060.9187,13240.9740609187
2040,"SSP4","East Asia",1646655145.30006,"beef",12106478228.82,12106.47822882
2040,"SSP4","North Africa and Middle East",1646655145.30006,"beef",10834020211.6754,10834.0202116754
2040,"SSP4","Central Europe",1646655145.30006,"beef",15565194035.545,15565.194035545
2040,"SSP5","East Asia",1335860194.28455,"beef",14315642879.0092,14315.6428790092
2040,"SSP5","Central Europe",1335860194.28455,"beef",16411560392.3615,16411.5603923615
2040,"SSP5","Central Latin America",1335860194.28455,"beef",18612325199.0115,18612.3251990115
2040,"SSP5","North Africa and Middle East",1335860194.28455,"beef",12919468183.4722,12919.4681834722
2045,"SSP1","Central Europe",1424136935.72288,"beef",17893543018.7547,17893.5430187547
2045,"SSP1","East Asia",1424136935.72288,"beef",15890183532.9582,15890.1835329582
2045,"SSP1","North Africa and Middle East",1424136935.72288,"beef",13942260685.3334,13942.2606853334
2045,"SSP1","Central Latin America",1424136935.72288,"beef",20526534280.314,20526.534280314
2045,"SSP2","North Africa and Middle East",1605175585.1326,"beef",13572881653.7275,13572.8816537275
2045,"SSP2","Central Europe",1605175585.1326,"beef",18595914119.6683,18595.9141196683
2045,"SSP2","Central Latin America",1605175585.1326,"beef",17325495240.262,17325.495240262
2045,"SSP2","East Asia",1605175585.1326,"beef",14933928727.5612,14933.9287275612
2045,"SSP3","North Africa and Middle East",1830109832.57829,"beef",12105883419.9139,12105.8834199139
2045,"SSP3","Central Latin America",1830109832.57829,"beef",14548375446.858,14548.375446858
2045,"SSP3","East Asia",1830109832.57829,"beef",13423715531.4115,13423.7155314115
2045,"SSP3","Central Europe",1830109832.57829,"beef",17414558895.4707,17414.5588954707
2045,"SSP4","Central Latin America",1811950674.46014,"beef",15847237112.482,15847.237112482
2045,"SSP4","East Asia",1811950674.46014,"beef",14799833402.311,14799.833402311
2045,"SSP4","North Africa and Middle East",1811950674.46014,"beef",13121210300.7431,13121.2103007431
2045,"SSP4","Central Europe",1811950674.46014,"beef",18661454820.744,18661.454820744
2045,"SSP5","East Asia",1405100374.06876,"beef",17228917634.1625,17228.9176341625
2045,"SSP5","Central Europe",1405100374.06876,"beef",18324656579.3542,18324.6565793542
2045,"SSP5","Central Latin America",1405100374.06876,"beef",22008058315.4507,22008.0583154507
2045,"SSP5","North Africa and Middle East",1405100374.06876,"beef",14164399706.7225,14164.3997067226
2050,"SSP1","Central Europe",1488035847.16757,"beef",19349357092.5296,19349.3570925296
2050,"SSP1","East Asia",1488035847.16757,"beef",18085752935.2174,18085.7529352174
2050,"SSP1","North Africa and Middle East",1488035847.16757,"beef",14756984669.6642,14756.9846696642
2050,"SSP1","Central Latin America",1488035847.16757,"beef",23011875642.7847,23011.8756427847
2050,"SSP2","North Africa and Middle East",1714457208.77821,"beef",15274487257.3927,15274.4872573927
