"Year","Reference_country_Scenario","SSP_Scenario","Type","Total_kg","total_Kt"
2010,"CH","SSP2","beef",3895959467.62171,3895.95946762171
2011,"CH","SSP2","beef",4524456555.91717,4524.45655591717
2012,"CH","SSP2","beef",5118356481.87353,5118.35648187353
2013,"CH","SSP2","beef",5680933037.61658,5680.93303761658
2015,"CH","SSP2","beef",6724315758.10098,6724.31575810098
2020,"CH","SSP2","beef",8979914752.02567,8979.91475202567
2025,"CH","SSP2","beef",10943768174.7206,10943.7681747206
2030,"CH","SSP2","beef",12799129056.0479,12799.1290560479
2035,"CH","SSP2","beef",14640576610.2653,14640.5766102653
2040,"CH","SSP2","beef",16483101115.8856,16483.1011158856
2045,"CH","SSP2","beef",18271188795.535,18271.188795535
2050,"CH","SSP2","beef",19887906695.812,19887.906695812
2010,"BR","SSP2","beef",2444760745.45416,2444.76074545416
2011,"BR","SSP2","beef",4619131664.34248,4619.13166434248
2012,"BR","SSP2","beef",6652576389.85957,6652.57638985957
2013,"BR","SSP2","beef",8558331564.4091,8558.3315644091
2015,"BR","SSP2","beef",12036562534.8864,12036.5625348864
2020,"BR","SSP2","beef",19304853368.6832,19304.8533686832
2025,"BR","SSP2","beef",25453333763.3777,25453.3337633777
2030,"BR","SSP2","beef",31343772445.3099,31343.7724453099
2035,"BR","SSP2","beef",37529807713.6791,37529.8077136791
2040,"BR","SSP2","beef",44290748803.5962,44290.7488035962
2045,"BR","SSP2","beef",51665377249.1365,51665.3772491365
2050,"BR","SSP2","beef",59485748246.3914,59485.7482463914
2010,"EG","SSP2","beef",3804738719.55329,3804.73871955329
2011,"EG","SSP2","beef",4529925907.99948,4529.92590799948
2012,"EG","SSP2","beef",5215582362.51091,5215.58236251092
2013,"EG","SSP2","beef",5865549656.40431,5865.54965640431
2015,"EG","SSP2","beef",7072857450.68218,7072.85745068218
2020,"EG","SSP2","beef",9700506788.53102,9700.50678853102
2025,"EG","SSP2","beef",12035700862.2281,12035.7008622281
2030,"EG","SSP2","beef",14326209727.8073,14326.2097278073
2035,"EG","SSP2","beef",16729467407.9907,16729.4674079907
2040,"EG","SSP2","beef",19322479931.9697,19322.4799319697
2045,"EG","SSP2","beef",22111733375.1875,22111.7333751875
2050,"EG","SSP2","beef",25043101899.1212,25043.1018991212
2010,"VN","SSP2","beef",4458608533.42541,4458.60853342541
2011,"VN","SSP2","beef",4480629510.99212,4480.62951099212
2012,"VN","SSP2","beef",4535141916.22012,4535.14191622012
2013,"VN","SSP2","beef",4620692716.07787,4620.69271607787
2015,"VN","SSP2","beef",4880734291.39953,4880.73429139953
2020,"VN","SSP2","beef",6034560496.96246,6034.56049696246
2025,"VN","SSP2","beef",7976407652.74992,7976.40765274992
2030,"VN","SSP2","beef",10949594548.6348,10949.5945486348
2035,"VN","SSP2","beef",15373145189.3445,15373.1451893445
2040,"VN","SSP2","beef",21830495722.0781,21830.4957220781
2045,"VN","SSP2","beef",31058201364.1239,31058.2013641239
2050,"VN","SSP2","beef",43934643330.4764,43934.6433304764
2010,"CH","SSP2","pork",1.615,1.615e-06
2011,"CH","SSP2","pork",1449247640.50539,1449.24764050539
2012,"CH","SSP2","pork",4838812297.06729,4838.81229706729
2013,"CH","SSP2","pork",7985945025.78588,7985.94502578588
2015,"CH","SSP2","pork",13642114408.8563,13642.1144088563
2020,"CH","SSP2","pork",24971244979.8321,24971.2449798321
2025,"CH","SSP2","pork",33853668095.1023,33853.6680951023
2030,"CH","SSP2","pork",41665658823.0811,41665.6588230811
2035,"CH","SSP2","pork",49151974948.8952,49151.9749488952
2040,"CH","SSP2","pork",56490986373.1368,56490.9863731368
2045,"CH","SSP2","pork",63359804510.6172,63359.8045106172
2050,"CH","SSP2","pork",68999411689.1194,68999.4116891194
2010,"BR","SSP2","pork",732280048.009967,732.280048009967
2011,"BR","SSP2","pork",1252858308.12249,1252.85830812249
2012,"BR","SSP2","pork",1739355230.77982,1739.35523077982
2013,"BR","SSP2","pork",2194925718.12892,2194.92571812892
2015,"BR","SSP2","pork",3025184145.24549,3025.18414524549
2020,"BR","SSP2","pork",4753169633.84195,4753.16963384195
2025,"BR","SSP2","pork",6207557973.79318,6207.55797379318
2030,"BR","SSP2","pork",7601818088.82975,7601.81808882975
2035,"BR","SSP2","pork",9079581587.1321,9079.5815871321
2040,"BR","SSP2","pork",10722657982.0437,10722.6579820437
2045,"BR","SSP2","pork",12559049912.7842,12559.0499127842
2050,"BR","SSP2","pork",14570968365.1628,14570.9683651628
2010,"EG","SSP2","pork",1167161480.67393,1167.16148067393
2011,"EG","SSP2","pork",1224476475.45529,1224.47647545529
2012,"EG","SSP2","pork",1279611932.89325,1279.61193289325
2013,"EG","SSP2","pork",1332735909.07702,1332.73590907702
2015,"EG","SSP2","pork",1433579040.82371,1433.57904082371
2020,"EG","SSP2","pork",1660649544.12168,1660.64954412168
2025,"EG","SSP2","pork",1863387983.64335,1863.38798364335
2030,"EG","SSP2","pork",2052408510.33598,2052.40851033598
2035,"EG","SSP2","pork",2234516939.28927,2234.51693928927
2040,"EG","SSP2","pork",2413303256.00609,2413.30325600609
2045,"EG","SSP2","pork",2589734122.67317,2589.73412267317
2050,"EG","SSP2","pork",2762745384.43175,2762.74538443175
2010,"VN","SSP2","pork",1.615,1.615e-06
2011,"VN","SSP2","pork",1517898888.40575,1517.89888840575
2012,"VN","SSP2","pork",5915836860.86539,5915.83686086539
2013,"VN","SSP2","pork",9996506914.65357,9996.50691465357
2015,"VN","SSP2","pork",17322213487.3343,17322.2134873343
2020,"VN","SSP2","pork",31945758211.7448,31945.7582117448
