"",".variable",".stat","Model 1"
"1","(Intercept)","Estimate","24.495"
"3","","t Value","2.839"
"4","","p Value","0.005"
"5","cgdppc","Estimate","0.001"
"7","","t Value","10.950"
"8","","p Value","0.000"
"9","christians_share","Estimate","-9.160"
"11","","t Value","-2.097"
"12","","p Value","0.036"
"13","jews_share","Estimate","11.158"
"15","","t Value","2.432"
"16","","p Value","0.015"
"17","muslims_share","Estimate","-9.770"
"19","","t Value","-2.244"
"20","","p Value","0.025"
"21","nonrelig_share","Estimate","-6.507"
"23","","t Value","-0.739"
"24","","p Value","0.460"
"25","hindus_share","Estimate","-20.462"
"27","","t Value","-2.078"
"28","","p Value","0.038"
"29","buddists_share","Estimate","9.299"
"31","","t Value","0.592"
"32","","p Value","0.554"
"33","folk_share","Estimate","-20.811"
"35","","t Value","-2.317"
"36","","p Value","0.021"
"37","other_share","Estimate","-21.861"
"39","","t Value","-5.464"
"40","","p Value","0.000"
"41","as.factor(continent)2","Estimate","0.676"
"43","","t Value","0.242"
"44","","p Value","0.809"
"45","as.factor(continent)3","Estimate","12.711"
"47","","t Value","6.593"
"48","","p Value","0.000"
"49","as.factor(continent)4","Estimate","-4.787"
"51","","t Value","-1.966"
"52","","p Value","0.050"
"53","as.factor(continent)5","Estimate","-0.212"
"55","","t Value","-0.109"
"56","","p Value","0.914"
"57","as.factor(continent)6","Estimate","1.893"
"59","","t Value","1.174"
"60","","p Value","0.241"
"61","as.factor(continent)7","Estimate","-2.055"
"63","","t Value","-0.775"
"64","","p Value","0.438"
"65","as.factor(continent)8","Estimate","-11.977"
"67","","t Value","-2.566"
"68","","p Value","0.011"
"69","as.factor(continent)9","Estimate","-2.786"
"71","","t Value","-0.995"
"72","","p Value","0.320"
"73","as.factor(continent)10","Estimate","-5.512"
"75","","t Value","-2.999"
"76","","p Value","0.003"
"77","as.factor(continent)11","Estimate","-20.243"
"79","","t Value","-1.016"
"80","","p Value","0.310"
"81","as.factor(continent)12","Estimate","5.674"
"83","","t Value","2.337"
"84","","p Value","0.020"
"85","as.factor(continent)13","Estimate","0.362"
"87","","t Value","0.155"
"88","","p Value","0.877"
"89","as.factor(continent)14","Estimate","-4.825"
"91","","t Value","-1.529"
"92","","p Value","0.127"
"93","as.factor(continent)15","Estimate","-25.322"
"95","","t Value","-1.527"
"96","","p Value","0.127"
"97","as.factor(continent)16","Estimate","2.452"
"99","","t Value","1.195"
"100","","p Value","0.233"
"101","as.factor(continent)17","Estimate","-5.412"
"103","","t Value","-2.430"
"104","","p Value","0.015"
"105","as.factor(continent)18","Estimate","6.004"
"107","","t Value","2.343"
"108","","p Value","0.019"
"109","as.factor(continent)19","Estimate","-6.345"
"111","","t Value","-3.530"
"112","","p Value","0.000"
"113","as.factor(continent)20","Estimate","-3.380"
"115","","t Value","-1.616"
"116","","p Value","0.107"
"117","","N","575"
"118","","R2","0.640"
"119","","adj R2","0.622"
"120","","AIC","3901.481"
