Source,Year,Population (million people)
Maddison,1961,218.6130157
Maddison,1962,223.8343961
Maddison,1963,229.2598204
Maddison,1964,234.8813184
Maddison,1965,240.6962223
Maddison,1966,246.7071567
Maddison,1967,252.9278906
Maddison,1968,259.3809906
Maddison,1969,266.095279
Maddison,1970,273.0946177
Maddison,1971,280.3870239
Maddison,1972,287.9777176
Maddison,1973,295.875497
Maddison,1974,304.0901767
Maddison,1975,312.6284768
Maddison,1976,321.4977011
Maddison,1977,330.7001498
Maddison,1978,340.2229993
Maddison,1979,350.0599339
Maddison,1980,360.1969381
Maddison,1981,370.6250386
Maddison,1982,381.3475688
Maddison,1983,392.3801401
Maddison,1984,403.7506217
Maddison,1985,415.4687294
Maddison,1986,427.5454913
Maddison,1987,439.9699779
Maddison,1988,452.6986345
Maddison,1989,465.6829475
Maddison,1990,478.8847399
Maddison,1991,492.3032982
Maddison,1992,505.9516809
Maddison,1993,519.8391403
Maddison,1994,533.9876875
Maddison,1995,548.4084653
Maddison,1996,563.1237123
Maddison,1997,578.1511087
Maddison,1998,593.5166166
Maddison,1999,609.259417
Maddison,2000,625.4079261
Maddison,2001,641.9787058
Maddison,2002,659.002197
Maddison,2003,676.5332365
Maddison,2004,694.6442597
Maddison,2005,713.3892001
Maddison,2006,732.7928108
Maddison,2007,752.854022
Maddison,2008,773.5687296
Maddison,2009,794.9159012
Maddison,2010,806.103108
Maddison,2011,827.0032057
Maddison,2012,847.9033033
Maddison,2013,868.8034009
Maddison,2014,889.7034985
SSP2,2015,910.6035961
SSP2,2016,932.9215819
SSP2,2017,955.2395677
SSP2,2018,977.5575534
SSP2,2019,999.8755392
SSP2,2020,1022.193525
SSP2,2021,1045.283862
SSP2,2022,1068.374199
SSP2,2023,1091.464537
SSP2,2024,1114.554874
SSP2,2025,1137.645211
SSP2,2026,1161.205048
SSP2,2027,1184.764885
SSP2,2028,1208.324723
SSP2,2029,1231.88456
SSP2,2030,1255.444397
SSP2,2031,1279.15027
SSP2,2032,1302.856142
SSP2,2033,1326.562014
SSP2,2034,1350.267887
SSP2,2035,1373.973759
SSP2,2036,1397.432136
SSP2,2037,1420.890513
SSP2,2038,1444.348889
SSP2,2039,1467.807266
SSP2,2040,1491.265643
SSP2,2041,1514.047631
SSP2,2042,1536.82962
SSP2,2043,1559.611608
SSP2,2044,1582.393597
SSP2,2045,1605.175585
SSP2,2046,1627.03191
SSP2,2047,1648.888235
SSP2,2048,1670.744559
SSP2,2049,1692.600884
SSP2,2050,1714.457209
SSP2,2051,1734.577231
SSP2,2052,1754.697254
SSP2,2053,1774.817276
SSP2,2054,1794.937298
SSP2,2055,1815.057321
SSP2,2056,1833.45165
SSP2,2057,1851.845979
SSP2,2058,1870.240308
SSP2,2059,1888.634637
SSP2,2060,1907.028966
SSP2,2061,1923.97517
SSP2,2062,1940.921374
SSP2,2063,1957.867578
SSP2,2064,1974.813782
SSP2,2065,1991.759986
SSP2,2066,2007.145898
SSP2,2067,2022.53181
SSP2,2068,2037.917722
SSP2,2069,2053.303633
SSP2,2070,2068.689545
SSP2,2071,2082.348536
SSP2,2072,2096.007528
SSP2,2073,2109.666519
SSP2,2074,2123.32551
SSP2,2075,2136.984501
SSP2,2076,2148.855628
SSP2,2077,2160.726754
SSP2,2078,2172.597881
SSP2,2079,2184.469007
SSP2,2080,2196.340133
SSP2,2081,2206.340404
SSP2,2082,2216.340675
SSP2,2083,2226.340946
SSP2,2084,2236.341217
SSP2,2085,2246.341488
SSP2,2086,2254.448177
SSP2,2087,2262.554865
SSP2,2088,2270.661553
SSP2,2089,2278.768242
SSP2,2090,2286.87493
SSP2,2091,2293.290631
SSP2,2092,2299.706331
SSP2,2093,2306.122031
SSP2,2094,2312.537731
SSP2,2095,2318.953432
SSP2,2096,2323.784871
SSP2,2097,2328.616311
SSP2,2098,2333.447751
SSP2,2099,2338.27919
SSP2,2100,2343.11063
