Year,SSP_Scenario,Scenario_region,Population,Type,Total_kg,total_Kt
2015,SSP1,Central Europe,900712443.8,beef,7074948290,7074.94829
2015,SSP1,East Asia,900712443.8,beef,5587320613,5587.320613
2015,SSP1,North Africa and Middle East,900712443.8,beef,5734681761,5734.681761
2015,SSP1,Central Latin America,900712443.8,beef,6720699144,6720.699144
2015,SSP2,North Africa and Middle East,910603596.1,beef,5813670279,5813.670279
2015,SSP2,Central Europe,910603596.1,beef,7154206561,7154.206561
2015,SSP2,Central Latin America,910603596.1,beef,6783696260,6783.69626
2015,SSP2,East Asia,910603596.1,beef,5650385735,5650.385735
2015,SSP3,North Africa and Middle East,918630017.6,beef,5855697151,5855.697151
2015,SSP3,Central Latin America,918630017.6,beef,6840813873,6840.813873
2015,SSP3,East Asia,918630017.6,beef,5692256197,5692.256197
2015,SSP3,Central Europe,918630017.6,beef,7215590255,7215.590255
2015,SSP4,Central Latin America,918135325.1,beef,6848440134,6848.440134
2015,SSP4,East Asia,918135325.1,beef,5689190853,5689.190853
2015,SSP4,North Africa and Middle East,918135325.1,beef,5852543793,5852.543793
2015,SSP4,Central Europe,918135325.1,beef,7211704580,7211.70458
2015,SSP5,East Asia,900141094.2,beef,5585589159,5585.589159
2015,SSP5,Central Europe,900141094.2,beef,7069263566,7069.263566
2015,SSP5,Central Latin America,900141094.2,beef,6727358181,6727.358181
2015,SSP5,North Africa and Middle East,900141094.2,beef,5729507407,5729.507407
2020,SSP1,Central Europe,996712840.3,beef,7747647768,7747.647768
2020,SSP1,East Asia,996712840.3,beef,6018121232,6018.121232
2020,SSP1,North Africa and Middle East,996712840.3,beef,6071504752,6071.504752
2020,SSP1,Central Latin America,996712840.3,beef,7177876125,7177.876125
2020,SSP2,North Africa and Middle East,1022193525,beef,6177895758,6177.895758
2020,SSP2,Central Europe,1022193525,beef,7886335235,7886.335235
2020,SSP2,Central Latin America,1022193525,beef,7337461786,7337.461786
2020,SSP2,East Asia,1022193525,beef,6068263397,6068.263397
2020,SSP3,North Africa and Middle East,1045757433,beef,6327563421,6327.563421
2020,SSP3,Central Latin America,1045757433,beef,7527258921,7527.258921
2020,SSP3,East Asia,1045757433,beef,6201255261,6201.255261
2020,SSP3,Central Europe,1045757433,beef,8053114216,8053.114216
2020,SSP4,Central Latin America,1044232337,beef,7516281428,7516.281428
2020,SSP4,East Asia,1044232337,beef,6196210512,6196.210512
2020,SSP4,North Africa and Middle East,1044232337,beef,6326914471,6326.914471
2020,SSP4,Central Europe,1044232337,beef,8041369834,8041.369834
2020,SSP5,East Asia,994750142.5,beef,6018072515,6018.072515
2020,SSP5,Central Europe,994750142.5,beef,7728628534,7728.628534
2020,SSP5,Central Latin America,994750142.5,beef,7155575718,7155.575718
2020,SSP5,North Africa and Middle East,994750142.5,beef,6042730208,6042.730208
2025,SSP1,Central Europe,1091533250,beef,9498065810,9498.06581
2025,SSP1,East Asia,1091533250,beef,7723595157,7723.595157
2025,SSP1,North Africa and Middle East,1091533250,beef,7180854232,7180.854232
2025,SSP1,Central Latin America,1091533250,beef,8804925477,8804.925477
2025,SSP2,North Africa and Middle East,1137645211,beef,7033929890,7033.92989
2025,SSP2,Central Europe,1137645211,beef,9209569223,9209.569223
2025,SSP2,Central Latin America,1137645211,beef,8562056917,8562.056917
2025,SSP2,East Asia,1137645211,beef,7335960450,7335.96045
2025,SSP3,North Africa and Middle East,1185186941,beef,7039877707,7039.877707
2025,SSP3,Central Latin America,1185186941,beef,8620570386,8620.570386
2025,SSP3,East Asia,1185186941,beef,7085495331,7085.495331
2025,SSP3,Central Europe,1185186941,beef,9253554849,9253.554849
2025,SSP4,Central Latin America,1181892226,beef,8583301798,8583.301798
2025,SSP4,East Asia,1181892226,beef,7064513959,7064.513959
2025,SSP4,North Africa and Middle East,1181892226,beef,7020566010,7020.56601
2025,SSP4,Central Europe,1181892226,beef,9214526620,9214.52662
2025,SSP5,East Asia,1087101836,beef,8014479001,8014.479001
2025,SSP5,Central Europe,1087101836,beef,9660156210,9660.15621
2025,SSP5,Central Latin America,1087101836,beef,9154156680,9154.15668
2025,SSP5,North Africa and Middle East,1087101836,beef,7434310322,7434.310322
2030,SSP1,Central Europe,1181202385,beef,12158576530,12158.57653
2030,SSP1,East Asia,1181202385,beef,10004540534,10004.54053
2030,SSP1,North Africa and Middle East,1181202385,beef,8913513084,8913.513084
2030,SSP1,Central Latin America,1181202385,beef,11065784340,11065.78434
2030,SSP2,North Africa and Middle East,1255444397,beef,8547509858,8547.509858
2030,SSP2,Central Europe,1255444397,beef,11523397397,11523.3974
2030,SSP2,Central Latin America,1255444397,beef,10520275224,10520.27522
2030,SSP2,East Asia,1255444397,beef,9450422774,9450.422774
2030,SSP3,North Africa and Middle East,1337405243,beef,7979761177,7979.761177
2030,SSP3,Central Latin America,1337405243,beef,9709936101,9709.936101
2030,SSP3,East Asia,1337405243,beef,8213484137,8213.484137
2030,SSP3,Central Europe,1337405243,beef,10837450228,10837.45023
2030,SSP4,Central Latin America,1331684744,beef,9690788999,9690.788999
2030,SSP4,East Asia,1331684744,beef,8282616130,8282.61613
2030,SSP4,North Africa and Middle East,1331684744,beef,7940131007,7940.131007
2030,SSP4,Central Europe,1331684744,beef,10879237293,10879.23729
2030,SSP5,East Asia,1173819717,beef,10156472324,10156.47232
2030,SSP5,Central Europe,1173819717,beef,12350932152,12350.93215
2030,SSP5,Central Latin America,1173819717,beef,11027092154,11027.09215
2030,SSP5,North Africa and Middle East,1173819717,beef,9135813274,9135.813274
2035,SSP1,Central Europe,1268628969,beef,14121981695,14121.98169
2035,SSP1,East Asia,1268628969,beef,11460617410,11460.61741
2035,SSP1,North Africa and Middle East,1268628969,beef,10350611852,10350.61185
2035,SSP1,Central Latin America,1268628969,beef,12942876983,12942.87698
2035,SSP2,North Africa and Middle East,1373973759,beef,10344749071,10344.74907
2035,SSP2,Central Europe,1373973759,beef,14519347837,14519.34784
2035,SSP2,Central Latin America,1373973759,beef,13004508727,13004.50873
2035,SSP2,East Asia,1373973759,beef,11911980058,11911.98006
2035,SSP3,North Africa and Middle East,1495467392,beef,9186975272,9186.975272
2035,SSP3,Central Latin America,1495467392,beef,11338933545,11338.93355
2035,SSP3,East Asia,1495467392,beef,10080794532,10080.79453
2035,SSP3,Central Europe,1495467392,beef,12951263774,12951.26377
2035,SSP4,Central Latin America,1486389922,beef,11543372073,11543.37207
2035,SSP4,East Asia,1486389922,beef,10358067004,10358.067
2035,SSP4,North Africa and Middle East,1486389922,beef,9326919073,9326.919073
2035,SSP4,Central Europe,1486389922,beef,13154300649,13154.30065
2035,SSP5,East Asia,1257851769,beef,11891230956,11891.23096
2035,SSP5,Central Europe,1257851769,beef,14481251832,14481.25183
2035,SSP5,Central Latin America,1257851769,beef,14180688326,14180.68833
2035,SSP5,North Africa and Middle East,1257851769,beef,10874254451,10874.25445
2040,SSP1,Central Europe,1350538145,beef,15661597746,15661.59775
2040,SSP1,East Asia,1350538145,beef,13154441643,13154.44164
2040,SSP1,North Africa and Middle East,1350538145,beef,12117432857,12117.43286
2040,SSP1,Central Latin America,1350538145,beef,16245786804,16245.7868
2040,SSP2,North Africa and Middle East,1491265643,beef,11731963940,11731.96394
2040,SSP2,Central Europe,1491265643,beef,16497985697,16497.9857
2040,SSP2,Central Latin America,1491265643,beef,14447813226,14447.81323
2040,SSP2,East Asia,1491265643,beef,13136474328,13136.47433
2040,SSP3,North Africa and Middle East,1659910201,beef,10565715963,10565.71596
2040,SSP3,Central Latin America,1659910201,beef,12851953347,12851.95335
2040,SSP3,East Asia,1659910201,beef,11531704880,11531.70488
2040,SSP3,Central Europe,1659910201,beef,15122857568,15122.85757
2040,SSP4,Central Latin America,1646655145,beef,13240974061,13240.97406
2040,SSP4,East Asia,1646655145,beef,12106478229,12106.47823
2040,SSP4,North Africa and Middle East,1646655145,beef,10834020212,10834.02021
2040,SSP4,Central Europe,1646655145,beef,15565194036,15565.19404
2040,SSP5,East Asia,1335860194,beef,14315642879,14315.64288
2040,SSP5,Central Europe,1335860194,beef,16411560392,16411.56039
2040,SSP5,Central Latin America,1335860194,beef,18612325199,18612.3252
2040,SSP5,North Africa and Middle East,1335860194,beef,12919468183,12919.46818
2045,SSP1,Central Europe,1424136936,beef,17893543019,17893.54302
2045,SSP1,East Asia,1424136936,beef,15890183533,15890.18353
2045,SSP1,North Africa and Middle East,1424136936,beef,13942260685,13942.26069
2045,SSP1,Central Latin America,1424136936,beef,20526534280,20526.53428
2045,SSP2,North Africa and Middle East,1605175585,beef,13572881654,13572.88165
2045,SSP2,Central Europe,1605175585,beef,18595914120,18595.91412
2045,SSP2,Central Latin America,1605175585,beef,17325495240,17325.49524
2045,SSP2,East Asia,1605175585,beef,14933928728,14933.92873
2045,SSP3,North Africa and Middle East,1830109833,beef,12105883420,12105.88342
2045,SSP3,Central Latin America,1830109833,beef,14548375447,14548.37545
2045,SSP3,East Asia,1830109833,beef,13423715531,13423.71553
2045,SSP3,Central Europe,1830109833,beef,17414558895,17414.5589
2045,SSP4,Central Latin America,1811950674,beef,15847237112,15847.23711
2045,SSP4,East Asia,1811950674,beef,14799833402,14799.8334
2045,SSP4,North Africa and Middle East,1811950674,beef,13121210301,13121.2103
2045,SSP4,Central Europe,1811950674,beef,18661454821,18661.45482
2045,SSP5,East Asia,1405100374,beef,17228917634,17228.91763
2045,SSP5,Central Europe,1405100374,beef,18324656579,18324.65658
2045,SSP5,Central Latin America,1405100374,beef,22008058315,22008.05832
2045,SSP5,North Africa and Middle East,1405100374,beef,14164399707,14164.39971
2050,SSP1,Central Europe,1488035847,beef,19349357093,19349.35709
2050,SSP1,East Asia,1488035847,beef,18085752935,18085.75294
2050,SSP1,North Africa and Middle East,1488035847,beef,14756984670,14756.98467
2050,SSP1,Central Latin America,1488035847,beef,23011875643,23011.87564
2050,SSP2,North Africa and Middle East,1714457209,beef,15274487257,15274.48726
2050,SSP2,Central Europe,1714457209,beef,19948226431,19948.22643
2050,SSP2,Central Latin America,1714457209,beef,20273797841,20273.79784
2050,SSP2,East Asia,1714457209,beef,16791065135,16791.06514
2050,SSP3,North Africa and Middle East,2004913219,beef,13803897965,13803.89796
2050,SSP3,Central Latin America,2004913219,beef,16900606790,16900.60679
2050,SSP3,East Asia,2004913219,beef,15026575531,15026.57553
2050,SSP3,Central Europe,2004913219,beef,19830535931,19830.53593
2050,SSP4,Central Latin America,1981120264,beef,18357587957,18357.58796
2050,SSP4,East Asia,1981120264,beef,16692808047,16692.80805
2050,SSP4,North Africa and Middle East,1981120264,beef,14919177733,14919.17773
2050,SSP4,Central Europe,1981120264,beef,21278887639,21278.88764
2050,SSP5,East Asia,1464277473,beef,18194405106,18194.40511
2050,SSP5,Central Europe,1464277473,beef,18852367567,18852.36757
2050,SSP5,Central Latin America,1464277473,beef,22552064064,22552.06406
2050,SSP5,North Africa and Middle East,1464277473,beef,14678438889,14678.43889
2015,SSP1,Central Europe,900712443.8,poultry,4375144619,4375.144619
2015,SSP1,East Asia,900712443.8,poultry,4310437036,4310.437036
2015,SSP1,North Africa and Middle East,900712443.8,poultry,3684415496,3684.415496
2015,SSP1,Central Latin America,900712443.8,poultry,4975098837,4975.098837
2015,SSP2,North Africa and Middle East,910603596.1,poultry,3719314569,3719.314569
2015,SSP2,Central Europe,910603596.1,poultry,4419324136,4419.324136
2015,SSP2,Central Latin America,910603596.1,poultry,5032809975,5032.809975
2015,SSP2,East Asia,910603596.1,poultry,4359185779,4359.185779
2015,SSP3,North Africa and Middle East,918630017.6,poultry,3746833189,3746.833189
2015,SSP3,Central Latin America,918630017.6,poultry,5076841590,5076.84159
2015,SSP3,East Asia,918630017.6,poultry,4388469212,4388.469212
2015,SSP3,Central Europe,918630017.6,poultry,4453534340,4453.53434
2015,SSP4,Central Latin America,918135325.1,poultry,5067059435,5067.059435
2015,SSP4,East Asia,918135325.1,poultry,4386105972,4386.105972
2015,SSP4,North Africa and Middle East,918135325.1,poultry,3744815478,3744.815478
2015,SSP4,Central Europe,918135325.1,poultry,4451136062,4451.136062
2015,SSP5,East Asia,900141094.2,poultry,4309125542,4309.125542
2015,SSP5,Central Europe,900141094.2,poultry,4372374956,4372.374956
2015,SSP5,Central Latin America,900141094.2,poultry,4971027986,4971.027986
2015,SSP5,North Africa and Middle East,900141094.2,poultry,3681364996,3681.364996
2020,SSP1,Central Europe,996712840.3,poultry,5604361763,5604.361763
2020,SSP1,East Asia,996712840.3,poultry,5465587045,5465.587045
2020,SSP1,North Africa and Middle East,996712840.3,poultry,4595913614,4595.913614
2020,SSP1,Central Latin America,996712840.3,poultry,6480344157,6480.344157
2020,SSP2,North Africa and Middle East,1022193525,poultry,4575802955,4575.802955
2020,SSP2,Central Europe,1022193525,poultry,5580153994,5580.153994
2020,SSP2,Central Latin America,1022193525,poultry,6414106951,6414.106951
2020,SSP2,East Asia,1022193525,poultry,5408692968,5408.692968
