Year,SSP_Scenario,Scenario_region,Population,Type,Total_kg,total_Kt,dry_ton
2015,SSP1,Central Europe,900712443.8,beef,7074948290,7074.94829,2695.555298
2015,SSP1,East Asia,900712443.8,beef,5587320613,5587.320613,2128.769153
2015,SSP1,North Africa and Middle East,900712443.8,beef,5734681761,5734.681761,2184.913751
2015,SSP1,Central Latin America,900712443.8,beef,6720699144,6720.699144,2560.586374
2015,SSP2,North Africa and Middle East,910603596.1,beef,5813670279,5813.670279,2215.008376
2015,SSP2,Central Europe,910603596.1,beef,7154206561,7154.206561,2725.7527
2015,SSP2,Central Latin America,910603596.1,beef,6783696260,6783.69626,2584.588275
2015,SSP2,East Asia,910603596.1,beef,5650385735,5650.385735,2152.796965
2015,SSP3,North Africa and Middle East,918630017.6,beef,5855697151,5855.697151,2231.020614
2015,SSP3,Central Latin America,918630017.6,beef,6840813873,6840.813873,2606.350085
2015,SSP3,East Asia,918630017.6,beef,5692256197,5692.256197,2168.749611
2015,SSP3,Central Europe,918630017.6,beef,7215590255,7215.590255,2749.139887
2015,SSP4,Central Latin America,918135325.1,beef,6848440134,6848.440134,2609.255691
2015,SSP4,East Asia,918135325.1,beef,5689190853,5689.190853,2167.581715
2015,SSP4,North Africa and Middle East,918135325.1,beef,5852543793,5852.543793,2229.819185
2015,SSP4,Central Europe,918135325.1,beef,7211704580,7211.70458,2747.659445
2015,SSP5,East Asia,900141094.2,beef,5585589159,5585.589159,2128.10947
2015,SSP5,Central Europe,900141094.2,beef,7069263566,7069.263566,2693.389419
2015,SSP5,Central Latin America,900141094.2,beef,6727358181,6727.358181,2563.123467
2015,SSP5,North Africa and Middle East,900141094.2,beef,5729507407,5729.507407,2182.942322
2020,SSP1,Central Europe,996712840.3,beef,7747647768,7747.647768,2951.8538
2020,SSP1,East Asia,996712840.3,beef,6018121232,6018.121232,2292.904189
2020,SSP1,North Africa and Middle East,996712840.3,beef,6071504752,6071.504752,2313.243311
2020,SSP1,Central Latin America,996712840.3,beef,7177876125,7177.876125,2734.770804
2020,SSP2,North Africa and Middle East,1022193525,beef,6177895758,6177.895758,2353.778284
2020,SSP2,Central Europe,1022193525,beef,7886335235,7886.335235,3004.693725
2020,SSP2,Central Latin America,1022193525,beef,7337461786,7337.461786,2795.57294
2020,SSP2,East Asia,1022193525,beef,6068263397,6068.263397,2312.008354
2020,SSP3,North Africa and Middle East,1045757433,beef,6327563421,6327.563421,2410.801663
2020,SSP3,Central Latin America,1045757433,beef,7527258921,7527.258921,2867.885649
2020,SSP3,East Asia,1045757433,beef,6201255261,6201.255261,2362.678254
2020,SSP3,Central Europe,1045757433,beef,8053114216,8053.114216,3068.236516
2020,SSP4,Central Latin America,1044232337,beef,7516281428,7516.281428,2863.703224
2020,SSP4,East Asia,1044232337,beef,6196210512,6196.210512,2360.756205
2020,SSP4,North Africa and Middle East,1044232337,beef,6326914471,6326.914471,2410.554414
2020,SSP4,Central Europe,1044232337,beef,8041369834,8041.369834,3063.761907
2020,SSP5,East Asia,994750142.5,beef,6018072515,6018.072515,2292.885628
2020,SSP5,Central Europe,994750142.5,beef,7728628534,7728.628534,2944.607471
2020,SSP5,Central Latin America,994750142.5,beef,7155575718,7155.575718,2726.274349
2020,SSP5,North Africa and Middle East,994750142.5,beef,6042730208,6042.730208,2302.280209
2025,SSP1,Central Europe,1091533250,beef,9498065810,9498.06581,3618.763074
2025,SSP1,East Asia,1091533250,beef,7723595157,7723.595157,2942.689755
2025,SSP1,North Africa and Middle East,1091533250,beef,7180854232,7180.854232,2735.905462
2025,SSP1,Central Latin America,1091533250,beef,8804925477,8804.925477,3354.676607
2025,SSP2,North Africa and Middle East,1137645211,beef,7033929890,7033.92989,2679.927288
2025,SSP2,Central Europe,1137645211,beef,9209569223,9209.569223,3508.845874
