,,PBA,IBA,CBA
Africa,Agriculture,0.0,24685712.305906,0.0
Africa,Energy,0.0,159354939.33356172,0.0
Africa,Extraction of fossil fuels,289477937.6940701,928697.0617743796,0.0
Africa,Manufacturing,0.0,87945531.10418919,0.0
Africa,Meat production,0.0,41742507.1457562,632253009.7628107
Africa,Services,0.0,32559609.560705256,0.0
Africa,Transport,0.0,1061533.034297363,0.0
Africa,Waste management,0.0,19714675.119515643,0.0
RoW,Agriculture,0.0,90922512.99141042,0.0
RoW,Energy,0.0,138162043.63546598,0.0
RoW,Extraction of fossil fuels,600105632.1374104,9129785.229031509,0.0
RoW,Manufacturing,0.0,246818575.26225486,0.0
RoW,Meat production,0.0,2732204.381432266,257330560.12433335
RoW,Services,0.0,28384636.542237747,0.0
RoW,Transport,0.0,838154.0673397689,0.0
RoW,Waste management,0.0,4602453.055101197,0.0
