,,PBA,IBA,CBA
Africa,Agriculture,0.0,29856165.69618117,0.0
Africa,Energy,0.0,203822122.78762612,0.0
Africa,Extraction of fossil fuels,387339009.75643736,1205863.417643468,0.0
Africa,Manufacturing,0.0,149569405.98826444,0.0
Africa,Meat production,0.0,55885906.46535416,935320340.5259422
Africa,Services,0.0,41088462.68690145,0.0
Africa,Transport,0.0,1284328.3915809866,0.0
Africa,Waste management,0.0,21157723.861482285,0.0
RoW,Agriculture,0.0,133207330.70782313,0.0
RoW,Energy,0.0,219238801.89670932,0.0
RoW,Extraction of fossil fuels,978959871.4408314,17860857.492271945,0.0
RoW,Manufacturing,0.0,436540516.3737989,0.0
RoW,Meat production,0.0,3979753.047600856,430978540.7270604
RoW,Services,0.0,43614938.43139527,0.0
RoW,Transport,0.0,1284141.9870083511,0.0
RoW,Waste management,0.0,6702561.964799323,0.0
