,,,,2020,2030,2040,2050
Land [Mkm2],Central Europe,SSP1,pessimistic,-2.935894384607925,-2.62676348475061,-2.167288957084651,-1.7087823037066332
Land [Mkm2],Central Europe,SSP1,baseline,-2.935894384607925,-2.62676348475061,-2.167288957084651,-1.7087823037066332
Land [Mkm2],Central Europe,SSP1,optimistic,-2.9347286189401847,-2.625174023788342,-2.1657149328043164,-1.7074277340948438
Land [Mkm2],Central Europe,SSP2,pessimistic,-2.935751679755938,-2.627379191642048,-2.1667046706343633,-1.7085373588376254
Land [Mkm2],Central Europe,SSP2,baseline,-2.935751679755938,-2.627379191642048,-2.1667046706343633,-1.7085373588376254
Land [Mkm2],Central Europe,SSP2,optimistic,-2.934565313727689,-2.625873804704094,-2.1650527086269067,-1.7071487455756196
Land [Mkm2],Central Europe,SSP3,pessimistic,-2.9355823703456916,-2.6280509057080508,-2.1678325892054313,-1.70873784577356
Land [Mkm2],Central Europe,SSP3,baseline,-2.9355823703456916,-2.6280509057080508,-2.1678325892054313,-1.70873784577356
Land [Mkm2],Central Europe,SSP3,optimistic,-2.9343714626911033,-2.62663684032965,-2.1663212172540205,-1.7073646113443184
Land [Mkm2],Central Europe,SSP4,pessimistic,-2.935594698734194,-2.628011057478747,-2.1674790664692383,-1.7078078029936201
Land [Mkm2],Central Europe,SSP4,baseline,-2.935594698734194,-2.628011057478747,-2.1674790664692383,-1.7078078029936201
Land [Mkm2],Central Europe,SSP4,optimistic,-2.934385557025052,-2.6265915128232886,-2.165923170511311,-1.7063331382148093
Land [Mkm2],Central Europe,SSP5,pessimistic,-2.9359128290380365,-2.6265774643083386,-2.16664890159741,-1.7089312815681352
Land [Mkm2],Central Europe,SSP5,baseline,-2.9359128290380365,-2.6265774643083386,-2.16664890159741,-1.7089312815681352
Land [Mkm2],Central Europe,SSP5,optimistic,-2.9347497778662395,-2.624962611082397,-2.1649964183858623,-1.707601594416619
Land [Mkm2],Central Latin America,SSP1,pessimistic,-3.0327524785131303,-2.8200494180829634,-2.502735556899094,-2.185214250683219
Land [Mkm2],Central Latin America,SSP1,baseline,-3.0327524785131303,-2.8200494180829634,-2.502735556899094,-2.185214250683219
Land [Mkm2],Central Latin America,SSP1,optimistic,-3.0316358781216484,-2.818477837684988,-2.500770425114645,-2.1829041039758237
Land [Mkm2],Central Latin America,SSP2,pessimistic,-3.0325849707820964,-2.8206008718926787,-2.504290635913849,-2.1873666638571687
Land [Mkm2],Central Latin America,SSP2,baseline,-3.0325849707820964,-2.8206008718926787,-2.504290635913849,-2.1873666638571687
Land [Mkm2],Central Latin America,SSP2,optimistic,-3.0314438447985173,-2.8191071261989795,-2.502539515466315,-2.1853317422257317
Land [Mkm2],Central Latin America,SSP3,pessimistic,-3.0323847493964617,-2.8214260332456584,-2.5057282920677557,-2.1899884979889754
Land [Mkm2],Central Latin America,SSP3,baseline,-3.0323847493964617,-2.8214260332456584,-2.5057282920677557,-2.1899884979889754
Land [Mkm2],Central Latin America,SSP3,optimistic,-3.0312143745864524,-2.8200483419437927,-2.5041715471196766,-2.188291042292013
Land [Mkm2],Central Latin America,SSP4,pessimistic,-3.0323965017152226,-2.8214425526286178,-2.505375328047958,-2.1888288386962924
Land [Mkm2],Central Latin America,SSP4,baseline,-3.0323965017152226,-2.8214425526286178,-2.505375328047958,-2.1888288386962924
Land [Mkm2],Central Latin America,SSP4,optimistic,-3.0312278337392593,-2.8200673589266576,-2.503771026813226,-2.186983801751931
Land [Mkm2],Central Latin America,SSP5,pessimistic,-3.032773498604053,-2.82008154724396,-2.5006541470533232,-2.185500447745936
Land [Mkm2],Central Latin America,SSP5,baseline,-3.032773498604053,-2.82008154724396,-2.5006541470533232,-2.185500447745936
