,,,2020,2030,2040,2050
Land [Mkm2],Central Europe,SSP1,7.869539811267253,12.721348550389974,14.442021437524025,14.92582728941197
Land [Mkm2],Central Europe,SSP2,8.060907770826361,11.90923864073063,15.265964850532526,15.321495744629312
Land [Mkm2],Central Europe,SSP3,8.289496494670251,11.026393803708585,13.776915991528274,15.111938670413318
Land [Mkm2],Central Europe,SSP4,8.273094423454603,11.079263762750685,14.248498818207889,16.362152001794385
Land [Mkm2],Central Europe,SSP5,7.844078927626548,12.967254702211507,15.274743233263663,14.64239971255565
Land [Mkm2],Central Latin America,SSP1,7.186575666404068,11.842167544641534,16.481178331720724,21.21173799467496
Land [Mkm2],Central Latin America,SSP2,7.410809616832168,11.115850536948166,14.420506385130176,18.424873742192144
Land [Mkm2],Central Latin America,SSP3,7.678406966325488,10.03124095417948,12.54332324382345,15.02087894889512
Land [Mkm2],Central Latin America,SSP4,7.662788201758995,10.008136115556027,13.003209275837824,16.514888389252043
Land [Mkm2],Central Latin America,SSP5,7.156973237255076,11.79583461162549,19.223055519203747,20.80603470188258
Land [Mkm2],East Asia,SSP1,5.6707650026664735,10.660684972585518,13.307877789517004,16.908773366167186
Land [Mkm2],East Asia,SSP2,5.740914719425891,9.912451818392531,13.264098553593426,15.518613026145944
Land [Mkm2],East Asia,SSP3,5.929954139979464,8.256969960754505,11.331609573785093,13.622689540251129
Land [Mkm2],East Asia,SSP4,5.922536490307752,8.349809343320873,12.01651781117648,15.382761364916796
Land [Mkm2],East Asia,SSP5,5.671880172360694,10.867927635671819,14.703146440735903,17.057901504353243
Land [Mkm2],North Africa and Middle East,SSP1,5.734360226384155,9.413289227065565,12.78320428096543,14.895982249752427
Land [Mkm2],North Africa and Middle East,SSP2,5.887580699393261,8.910070359856642,12.300562532891004,15.457436999572742
Land [Mkm2],North Africa and Middle East,SSP3,6.1046732783930935,8.117183702613367,10.819880949795406,13.74923017395501
Land [Mkm2],North Africa and Middle East,SSP4,6.103662676917679,8.064328205644392,11.1652099976992,15.053571940334287
Land [Mkm2],North Africa and Middle East,SSP5,5.693806758574823,9.716466037228363,13.806558647857452,14.830805895674576
Water Cons. Blue [BCM],Central Europe,SSP1,369740849636.366,1311788180093.6665,3073126472968.303,5532498939593.472
Water Cons. Blue [BCM],Central Europe,SSP2,379038825920.3752,1229974846932.1729,3284479983271.048,5782033627227.648
Water Cons. Blue [BCM],Central Europe,SSP3,390389090682.01697,1142118945275.4592,2978888718965.044,5795623071290.281
Water Cons. Blue [BCM],Central Europe,SSP4,389611556219.2141,1147552980459.5962,3079589032834.8027,6262501595996.928
Water Cons. Blue [BCM],Central Europe,SSP5,368390023549.1076,1336779085647.8513,3234208281471.207,5299353769017.445
Water Cons. Blue [BCM],Central Latin America,SSP1,9.291159078430551,17.864892501916213,28.725464129656146,46.00135055638798
Water Cons. Blue [BCM],Central Latin America,SSP2,9.535060192411771,16.702349295309975,25.96478294680386,39.80123362231195
Water Cons. Blue [BCM],Central Latin America,SSP3,9.840958265208176,14.863297356867267,22.381017727121264,32.992678610369516
Water Cons. Blue [BCM],Central Latin America,SSP4,9.82076640644323,14.8700429095178,23.308834552235815,36.58660711287306
Water Cons. Blue [BCM],Central Latin America,SSP5,9.288495451361825,17.886781197314964,33.0562028103752,46.65199994263446
Water Cons. Blue [BCM],East Asia,SSP1,8.977529422795367,17.591295175010835,25.32994967107541,37.4579312391898
Water Cons. Blue [BCM],East Asia,SSP2,9.042142773599553,16.3860519851137,24.804862204322244,33.93923790202126
Water Cons. Blue [BCM],East Asia,SSP3,9.265072994147296,13.980922060729517,21.20746879802643,29.136807052130827
Water Cons. Blue [BCM],East Asia,SSP4,9.252320301825192,14.121592719542155,22.337231083749174,32.91054660384097
Water Cons. Blue [BCM],East Asia,SSP5,8.998167889292073,17.961682358982937,27.866138048324785,38.57224023193147
Water Cons. Blue [BCM],North Africa and Middle East,SSP1,8.95102089244695,19.694354101533804,36.529406869820775,60.318388384987855
Water Cons. Blue [BCM],North Africa and Middle East,SSP2,9.159232729406407,18.770706774387644,35.56432565144987,60.15972271504551
Water Cons. Blue [BCM],North Africa and Middle East,SSP3,9.488201289152528,16.95959889659069,31.77849358889669,54.52675962841821
Water Cons. Blue [BCM],North Africa and Middle East,SSP4,9.48522157787499,16.909196730406457,32.84581256841067,59.28182324818075
Water Cons. Blue [BCM],North Africa and Middle East,SSP5,8.915345304415196,20.18081763529941,39.3429812259444,61.41411508121112
Water Cons. Green [BCM],Central Europe,SSP1,164.07764242252847,308.25816542955124,433.43416837211936,582.116751505012
Water Cons. Green [BCM],Central Europe,SSP2,167.10136003963376,286.2496359312863,433.53939289081694,552.2618739430749
Water Cons. Green [BCM],Central Europe,SSP3,170.17147902768764,260.299482281247,381.02944711668204,504.62003074009493
Water Cons. Green [BCM],Central Europe,SSP4,169.8435969524198,261.5386694680227,395.0396951358831,551.5363719699614
