,,,2020,2030,2040,2050
Land [Mkm2],Central Europe,SSP1,7.056696976380876,9.98860423378965,14.551868126720027,15.600984715469812
Land [Mkm2],Central Europe,SSP2,7.058444064585543,9.095337324403149,12.308408599675502,15.291905347715238
Land [Mkm2],Central Europe,SSP3,7.114805596640176,9.311826449526261,10.365291388171539,10.604753842773226
Land [Mkm2],Central Europe,SSP4,7.063077067926939,9.308673669848096,10.527139125981282,11.756707567826073
Land [Mkm2],Central Europe,SSP5,7.050919003406893,10.154924770733363,16.008098014582806,16.73810001958747
Land [Mkm2],Central Latin America,SSP1,4.2665765484747515,7.7712696013685605,11.94067482899858,12.73753796971103
Land [Mkm2],Central Latin America,SSP2,4.09284424528581,6.637582750794686,10.601168353954261,13.978879919571094
Land [Mkm2],Central Latin America,SSP3,3.93469576107593,6.123115586934917,7.829212523590047,9.46320935811504
Land [Mkm2],Central Latin America,SSP4,3.8550956626917214,6.181292024753808,8.344226501774004,11.159830243595827
Land [Mkm2],Central Latin America,SSP5,4.290530745002216,7.970052789601241,12.381573640347003,12.547103389699805
Land [Mkm2],East Asia,SSP1,4.24720236333431,7.773289143802171,11.812188191866388,12.662532301832776
Land [Mkm2],East Asia,SSP2,4.072232294233322,6.639074550632912,10.599601509527583,13.95783538962732
Land [Mkm2],East Asia,SSP3,3.912838124635152,6.119199071885947,7.87369040055141,9.592264531706421
Land [Mkm2],East Asia,SSP4,3.8330527717770155,6.177879142211315,8.395025051333565,11.31892001863455
Land [Mkm2],East Asia,SSP5,4.271294815314615,7.9600609250167205,12.223810703168656,12.487031402082474
Land [Mkm2],North Africa and Middle East,SSP1,4.275667907254125,7.9648292282313955,12.811312481210322,14.062926553417432
Land [Mkm2],North Africa and Middle East,SSP2,4.055438126711743,6.770949565019696,11.06607139727846,15.227384034461732
Land [Mkm2],North Africa and Middle East,SSP3,3.852805926698884,6.192301614866119,8.077242460399619,9.918216119689724
Land [Mkm2],North Africa and Middle East,SSP4,3.77032963798159,6.259836025679148,8.626135073784644,11.754640035931564
Land [Mkm2],North Africa and Middle East,SSP5,4.299521869504015,8.178482932443734,13.395226487492955,13.854555206630883
Water Cons. Blue [BCM],Central Europe,SSP1,10.056946370620716,14.899602444877244,24.430445181438824,29.53491078198939
Water Cons. Blue [BCM],Central Europe,SSP2,10.028359933891418,13.410724747853958,20.29111399275769,28.79750736906439
Water Cons. Blue [BCM],Central Europe,SSP3,10.138196412878,13.64008132852638,16.57154626992393,19.048933915387096
Water Cons. Blue [BCM],Central Europe,SSP4,10.078019619613487,13.636254985606463,16.831458300916296,21.343529297919748
Water Cons. Blue [BCM],Central Europe,SSP5,10.044982797758209,15.23581261902684,26.86520125813297,31.71480641446331
Water Cons. Blue [BCM],Central Latin America,SSP1,6.74788991102048,12.782074512867403,24.731869570043393,32.292050250207446
Water Cons. Blue [BCM],Central Latin America,SSP2,6.497521051986203,10.841582651389604,20.13123087540891,32.7389111036233
Water Cons. Blue [BCM],Central Latin America,SSP3,6.323944209149518,10.067429460617339,14.199638062021572,19.201698029473473
Water Cons. Blue [BCM],Central Latin America,SSP4,6.215098728679501,10.157206788097797,15.09321465959862,22.731932757600674
Water Cons. Blue [BCM],Central Latin America,SSP5,6.775484281176103,13.261606330264366,26.584620050406926,34.508373667374386
Water Cons. Blue [BCM],East Asia,SSP1,6.5762583097041665,12.14741523714776,22.16201735609227,27.785517845618365
Water Cons. Blue [BCM],East Asia,SSP2,6.331794758971084,10.305762004855568,18.252121341791753,28.179777127028732
Water Cons. Blue [BCM],East Asia,SSP3,6.161639420677162,9.568020964174698,12.979560366839499,16.859847237442725
Water Cons. Blue [BCM],East Asia,SSP4,6.055303031245803,9.65352835247813,13.7981239054536,19.94761230888238
Water Cons. Blue [BCM],East Asia,SSP5,6.603284116657893,12.56177206718281,23.822494485838764,29.57399199794399
Water Cons. Blue [BCM],North Africa and Middle East,SSP1,12.956245251793414,36.294535442057345,110.86900937930903,196.4326085972036
Water Cons. Blue [BCM],North Africa and Middle East,SSP2,12.30322385937815,30.75286706803709,85.30090976434539,193.5168077287082
Water Cons. Blue [BCM],North Africa and Middle East,SSP3,11.952853285321487,28.044352417223948,58.88328590207832,105.66109083761815
Water Cons. Blue [BCM],North Africa and Middle East,SSP4,11.744025887215782,28.648397431155438,62.832927671114945,125.16674159837262
Water Cons. Blue [BCM],North Africa and Middle East,SSP5,13.069882782576643,37.771692476353635,121.19946623692846,211.50253923009146
Water Cons. Green [BCM],Central Europe,SSP1,204.99098654328026,387.97520666867956,887.4859796842524,1430.8009985184985
Water Cons. Green [BCM],Central Europe,SSP2,204.06265216272166,347.2095341990064,732.3860671813006,1393.4209924977113
Water Cons. Green [BCM],Central Europe,SSP3,206.49801700391913,351.93011785995725,589.6785652362638,904.8316519166156
Water Cons. Green [BCM],Central Europe,SSP4,205.38857989367136,351.8408209533896,599.0472032193254,1018.8595509332325
Water Cons. Green [BCM],Central Europe,SSP5,204.71014568249197,397.8659346570251,975.2025868876623,1535.6840871835473
Water Cons. Green [BCM],Central Latin America,SSP1,102.55268750280378,184.73952703300156,347.75001540437603,428.61860071073056
