,,,2020,2030,2040,2050
Environmental Extension,Reference Region,SSP,,,,
Land [Mkm2],Central Europe,SSP1,7.8438244323984,12.628929011240134,14.222207369398964,14.522540110619964
Land [Mkm2],Central Europe,SSP2,8.034572429641457,11.822740741350637,15.03392630575251,14.907941859800513
Land [Mkm2],Central Europe,SSP3,8.262423295934862,10.946355233602526,13.567642996507482,14.704404556032676
Land [Mkm2],Central Europe,SSP4,8.246074754561123,10.998841756107135,14.032049081107859,15.920860433315315
Land [Mkm2],Central Europe,SSP5,7.8184446248280475,12.873041138721517,15.042098564571221,14.246305264520407
Land [Mkm2],Central Latin America,SSP1,7.186575666404068,11.842167544641534,16.481178331720724,21.21173799467496
Land [Mkm2],Central Latin America,SSP2,7.410809616832168,11.115850536948166,14.420506385130176,18.424873742192144
Land [Mkm2],Central Latin America,SSP3,7.678406966325488,10.03124095417948,12.54332324382345,15.02087894889512
Land [Mkm2],Central Latin America,SSP4,7.662788201758995,10.008136115556027,13.003209275837824,16.514888389252043
Land [Mkm2],Central Latin America,SSP5,7.156973237255076,11.79583461162549,19.223055519203747,20.80603470188258
Land [Mkm2],East Asia,SSP1,5.6707650026664735,10.660684972585518,13.307877789517004,16.908773366167186
Land [Mkm2],East Asia,SSP2,5.740914719425891,9.912451818392531,13.264098553593426,15.518613026145944
Land [Mkm2],East Asia,SSP3,5.929954139979464,8.256969960754505,11.331609573785093,13.622689540251129
Land [Mkm2],East Asia,SSP4,5.922536490307752,8.349809343320873,12.01651781117648,15.382761364916796
Land [Mkm2],East Asia,SSP5,5.671880172360694,10.867927635671819,14.703146440735903,17.057901504353243
Land [Mkm2],North Africa and Middle East,SSP1,5.6479031253072085,9.115443438188775,12.016340285248711,13.508142744110046
Land [Mkm2],North Africa and Middle East,SSP2,5.798802390339354,8.628205783743839,11.563000024955139,14.014599669933991
Land [Mkm2],North Africa and Middle East,SSP3,6.012617790820371,7.860300925928635,10.171480078299705,12.466929520739736
Land [Mkm2],North Africa and Middle East,SSP4,6.011621846939811,7.809154261828283,10.496165707018513,13.649202852946813
Land [Mkm2],North Africa and Middle East,SSP5,5.607970747753848,9.408944083983632,12.978217529542151,13.450529628858575
Water Cons. Blue [BCM],Central Europe,SSP1,10.674473853389133,19.175650952874047,25.46062722517075,32.07296731254146
Water Cons. Blue [BCM],Central Europe,SSP2,10.893074171662615,17.852137832031406,25.914419243037514,31.172964275215275
Water Cons. Blue [BCM],Central Europe,SSP3,11.130041405441698,16.33161556282964,22.972802694478872,29.192965219555195
Water Cons. Blue [BCM],Central Europe,SSP4,11.108430742492434,16.4099303352778,23.797794914035148,31.81015815989052
Water Cons. Blue [BCM],Central Europe,SSP5,10.657478330552943,19.57429229927525,27.39870782568421,33.56524934282283
Water Cons. Blue [BCM],Central Latin America,SSP1,9.291159078430551,17.864892501916213,28.725464129656146,46.00135055638798
Water Cons. Blue [BCM],Central Latin America,SSP2,9.535060192411771,16.702349295309975,25.96478294680386,39.80123362231195
Water Cons. Blue [BCM],Central Latin America,SSP3,9.840958265208176,14.863297356867267,22.381017727121264,32.992678610369516
Water Cons. Blue [BCM],Central Latin America,SSP4,9.82076640644323,14.8700429095178,23.308834552235815,36.58660711287306
Water Cons. Blue [BCM],Central Latin America,SSP5,9.288495451361825,17.886781197314964,33.0562028103752,46.65199994263446
Water Cons. Blue [BCM],East Asia,SSP1,8.977529422795367,17.591295175010835,25.32994967107541,37.4579312391898
Water Cons. Blue [BCM],East Asia,SSP2,9.042142773599553,16.3860519851137,24.804862204322244,33.93923790202126
Water Cons. Blue [BCM],East Asia,SSP3,9.265072994147296,13.980922060729517,21.20746879802643,29.136807052130827
Water Cons. Blue [BCM],East Asia,SSP4,9.252320301825192,14.121592719542155,22.337231083749174,32.91054660384097
Water Cons. Blue [BCM],East Asia,SSP5,8.998167889292073,17.961682358982937,27.866138048324785,38.57224023193147
Water Cons. Blue [BCM],North Africa and Middle East,SSP1,7.806488658143473,15.510716089575752,25.957008754516732,39.54657365689363
Water Cons. Blue [BCM],North Africa and Middle East,SSP2,7.990072600458738,14.775983611191988,25.237963687599688,39.62435258218094
Water Cons. Blue [BCM],North Africa and Middle East,SSP3,8.277719274053426,13.36415814937377,22.517069023332024,35.839241410497145
Water Cons. Blue [BCM],North Africa and Middle East,SSP4,8.275226289717047,13.319596715484693,23.2683286248203,38.991730214143786
Water Cons. Blue [BCM],North Africa and Middle East,SSP5,7.773642246204218,15.90479268274762,27.96427299495647,40.16472323651674
Water Cons. Green [BCM],Central Europe,SSP1,160.2098513480332,293.46330532177666,395.9968280494788,508.2627048370142
Water Cons. Green [BCM],Central Europe,SSP2,163.16100743708637,272.50005099556154,395.90739843629206,481.70534233957295
Water Cons. Green [BCM],Central Europe,SSP3,166.15564572835464,247.78123691189083,347.87639305282914,439.6575149571508
Water Cons. Green [BCM],Central Europe,SSP4,165.83554043911207,248.96140813828427,360.6735232202067,480.61192034049105
Water Cons. Green [BCM],Central Europe,SSP5,160.08621933173433,299.7973050437204,429.58335594167005,546.4180700102843
Water Cons. Green [BCM],Central Latin America,SSP1,123.72269044939442,225.91078737604698,320.6507061793543,464.0318658390767
Water Cons. Green [BCM],Central Latin America,SSP2,126.627040266449,210.82588446945826,293.41642400416475,401.05672670107685
Water Cons. Green [BCM],Central Latin America,SSP3,130.40593183307496,186.3933927750517,252.05938956985523,333.9773396167168
Water Cons. Green [BCM],Central Latin America,SSP4,130.13693827476632,186.71572492369975,262.95780432168687,371.4202605526052
Water Cons. Green [BCM],Central Latin America,SSP5,123.93648538235806,226.6929519449558,367.05040610898527,475.6545100480125
Water Cons. Green [BCM],East Asia,SSP1,134.88165905672443,244.53464261575326,320.5734582751741,428.075079613168
Water Cons. Green [BCM],East Asia,SSP2,135.56498026336703,227.93145484085073,311.83988902726173,386.29872337426644
Water Cons. Green [BCM],East Asia,SSP3,138.45259350181647,196.2672264560836,266.70511294214276,328.9573905901281
Water Cons. Green [BCM],East Asia,SSP4,138.2539643309003,198.15241938409963,280.1785866975319,371.6202955571358
Water Cons. Green [BCM],East Asia,SSP5,135.30833220235894,249.8488639043454,352.0945483042529,443.90625794291253
Water Cons. Green [BCM],North Africa and Middle East,SSP1,94.69343801675899,165.2241063583753,222.8370623968938,284.86648493490316
Water Cons. Green [BCM],North Africa and Middle East,SSP2,96.74998898250355,157.8306746752115,217.6299299805468,281.70039765641206
Water Cons. Green [BCM],North Africa and Middle East,SSP3,100.17993804468675,142.2190877920007,195.38086438747808,256.54857137005695
Water Cons. Green [BCM],North Africa and Middle East,SSP4,100.14128035253366,141.96147525867053,202.00841697208728,278.28854649878286
Water Cons. Green [BCM],North Africa and Middle East,SSP5,94.4448178793836,168.89910873090395,239.79808889449458,291.4529728858979
Fossil Fuels [EJ],Central Europe,SSP1,0.2831798906069565,0.5666093139231617,0.8551272636479864,1.2347656908667985
Fossil Fuels [EJ],Central Europe,SSP2,0.2874397883041457,0.5242399555413989,0.8351530394568177,1.1358571225554763
Fossil Fuels [EJ],Central Europe,SSP3,0.2911566350550266,0.47234770574249346,0.7250610147564412,1.0043737402210198
Fossil Fuels [EJ],Central Europe,SSP4,0.2906013277468895,0.47455147612525495,0.7526526864049038,1.1021817292084772
Fossil Fuels [EJ],Central Europe,SSP5,0.28332288066326106,0.5795648261107715,0.9375425343308594,1.3662988811972692
Fossil Fuels [EJ],Central Latin America,SSP1,0.19821100095157163,0.3944312334614225,0.5740423333712005,0.9024555040520286
Fossil Fuels [EJ],Central Latin America,SSP2,0.2016777762664398,0.36658923039186275,0.5415011120282471,0.7769639686949716
Fossil Fuels [EJ],Central Latin America,SSP3,0.20673224528927192,0.3191585720638903,0.46151366532882565,0.6574816807238548
Fossil Fuels [EJ],Central Latin America,SSP4,0.2063004481830736,0.32062260426983924,0.4835370550649802,0.7357356715292707
Fossil Fuels [EJ],Central Latin America,SSP5,0.1993520365567684,0.3974693270028891,0.6485490811281414,0.9491273192700033
Fossil Fuels [EJ],East Asia,SSP1,0.261286108976848,0.4919867155000876,0.7093953904600799,1.047810095631752
Fossil Fuels [EJ],East Asia,SSP2,0.26177548191651917,0.4588928742782899,0.6829729360406827,0.9363965118295849
Fossil Fuels [EJ],East Asia,SSP3,0.26606861332782017,0.39990821689184725,0.5835626094399382,0.787543097930601
Fossil Fuels [EJ],East Asia,SSP4,0.2656605650771161,0.4034880015373771,0.6107918030322556,0.8895835698314786
Fossil Fuels [EJ],East Asia,SSP5,0.2624502343992393,0.5032434803371104,0.778087449389453,1.0989542208412728
Fossil Fuels [EJ],North Africa and Middle East,SSP1,0.15014575075395659,0.28664394313675123,0.410234865218792,0.5921832645879044
Fossil Fuels [EJ],North Africa and Middle East,SSP2,0.1528242125878489,0.274798247521804,0.40441716396424343,0.5688602535651176
Fossil Fuels [EJ],North Africa and Middle East,SSP3,0.1580380918220471,0.24500914987818845,0.36626881521384264,0.5242177204491337
Fossil Fuels [EJ],North Africa and Middle East,SSP4,0.15794474822224114,0.24540100193903316,0.3793716174909116,0.5671075849199568
Fossil Fuels [EJ],North Africa and Middle East,SSP5,0.15025349636306565,0.2912197325742413,0.44067445101468666,0.6148200480477811
Electricity [TWh],Central Europe,SSP1,15.804701351708111,31.535117168076283,47.009019237208065,67.17594777393631
Electricity [TWh],Central Europe,SSP2,16.037609965240822,29.232400237933728,46.237598982923494,62.244381428713986
Electricity [TWh],Central Europe,SSP3,16.262185665377938,26.347142852006208,40.27120661975689,55.595846037143446
Electricity [TWh],Central Europe,SSP4,16.23039789035375,26.46145645602414,41.80436868676909,60.88466503984469
Electricity [TWh],Central Europe,SSP5,15.805246833694294,32.276733401561316,51.484622915473786,73.41390132288146
Electricity [TWh],Central Latin America,SSP1,11.932222046164162,24.26639508588221,35.168147106786755,54.87761934410453
Electricity [TWh],Central Latin America,SSP2,12.12230764762122,22.525348797235786,33.25354266714141,47.140769282935736
Electricity [TWh],Central Latin America,SSP3,12.417557023877507,19.47542472487701,28.356409259855038,40.240630486284005
Electricity [TWh],Central Latin America,SSP4,12.391376121109618,19.57511799448028,29.729085144344907,44.90381441937953
Electricity [TWh],Central Latin America,SSP5,11.989728249187001,24.403589090423242,39.73377611596781,57.439166815150536
Electricity [TWh],East Asia,SSP1,14.126148949643968,26.99096260799635,38.307095183305,56.29499844318261
Electricity [TWh],East Asia,SSP2,14.146850049157303,25.134140360755204,36.92140424669556,49.95430553317274
Electricity [TWh],East Asia,SSP3,14.384280586640216,21.685794822002475,31.40163010759388,42.09654612893135
Electricity [TWh],East Asia,SSP4,14.36102286961341,21.884155917369892,32.92405887608028,47.51253298311888
Electricity [TWh],East Asia,SSP5,14.19112220267767,27.619760739931554,42.1766466577798,59.06689517804404
Electricity [TWh],North Africa and Middle East,SSP1,8.81764177206831,17.49530920480076,25.428603382046532,36.63583736271169
Electricity [TWh],North Africa and Middle East,SSP2,8.968731206151707,16.608693060330463,25.017180418159025,35.22304472020503
Electricity [TWh],North Africa and Middle East,SSP3,9.26421726365155,14.61688982805764,22.303173096192943,32.17443885021719
Electricity [TWh],North Africa and Middle East,SSP4,9.257165516949339,14.654910467363258,23.14563360155596,35.133792186988266
Electricity [TWh],North Africa and Middle East,SSP5,8.825467260672607,17.8016086371578,27.381938236219426,37.92561718224586
GHG [GtonCO2_eq],Central Europe,SSP1,0.5425476474569202,0.9321220216086558,1.1748117457869998,1.3969059565594675
GHG [GtonCO2_eq],Central Europe,SSP2,0.5551852809401664,0.8713068248871505,1.2277029591716038,1.4077481374419032
GHG [GtonCO2_eq],Central Europe,SSP3,0.5699835683767273,0.8039816850739548,1.1020676421721425,1.3654444458600286
GHG [GtonCO2_eq],Central Europe,SSP4,0.5688603916458536,0.8078254177241375,1.1403608988679552,1.481326465680682
GHG [GtonCO2_eq],Central Europe,SSP5,0.5410190661547738,0.950556475238509,1.2493538590229096,1.4011540642223252
GHG [GtonCO2_eq],Central Latin America,SSP1,0.488511760974179,0.8595505796137173,1.304220173585535,1.885411522081907
GHG [GtonCO2_eq],Central Latin America,SSP2,0.503181090022913,0.8060619829132346,1.149462007604583,1.6362413194223104
GHG [GtonCO2_eq],Central Latin America,SSP3,0.5208785990409663,0.7249631645021914,0.9978158306756328,1.3390151942289006
GHG [GtonCO2_eq],Central Latin America,SSP4,0.5198167431019254,0.7237588051015086,1.0354793887622902,1.4748976284194666
GHG [GtonCO2_eq],Central Latin America,SSP5,0.48691968691942084,0.8571727683242959,1.5167438673068583,1.8627879024666079
GHG [GtonCO2_eq],East Asia,SSP1,0.40418967678487044,0.7869605801025046,1.0638551652335777,1.4822389553797302
GHG [GtonCO2_eq],East Asia,SSP2,0.40860587866141884,0.7320423782403653,1.0552925039339498,1.355160554642945
GHG [GtonCO2_eq],East Asia,SSP3,0.42113500939390014,0.6135834787173303,0.9015900380660699,1.1824408696360993
GHG [GtonCO2_eq],East Asia,SSP4,0.42059254504820726,0.6202869542919575,0.9543855615881598,1.335277022372046
GHG [GtonCO2_eq],East Asia,SSP5,0.4045060966468808,0.8026145476847273,1.1741730055049904,1.504006637229692
GHG [GtonCO2_eq],North Africa and Middle East,SSP1,0.3720817245234145,0.6205873112920471,0.8503805910127701,1.020080894124566
GHG [GtonCO2_eq],North Africa and Middle East,SSP2,0.38174026678334544,0.5882146922178966,0.8203746351274968,1.0486181868350914
GHG [GtonCO2_eq],North Africa and Middle East,SSP3,0.39572972644284915,0.5347932874370538,0.7240111544436096,0.9367790407683239
GHG [GtonCO2_eq],North Africa and Middle East,SSP4,0.3956503927877134,0.5317327322270153,0.7474087790872846,1.0240580151978418
GHG [GtonCO2_eq],North Africa and Middle East,SSP5,0.36970034610147906,0.6395672087265016,0.9179176216422112,1.0211258951129647
CO2_f [GtonCO2_eq],Central Europe,SSP1,0.020992325238428023,0.04235281473595049,0.06481979638237848,0.09458034412027339
CO2_f [GtonCO2_eq],Central Europe,SSP2,0.021322849600900317,0.03922594636670523,0.06377318395296203,0.08793440746167594
CO2_f [GtonCO2_eq],Central Europe,SSP3,0.02162516444433943,0.03542250007451817,0.05557617784821534,0.07867496209361416
CO2_f [GtonCO2_eq],Central Europe,SSP4,0.02158375306465131,0.03558767099725356,0.05767066095972571,0.08620418011464119
CO2_f [GtonCO2_eq],Central Europe,SSP5,0.020996434433647935,0.04331035961355603,0.07084705214625758,0.10354250451630241
CO2_f [GtonCO2_eq],Central Latin America,SSP1,0.015896410616613784,0.033378353322242156,0.05404813404100046,0.09133745558372873
CO2_f [GtonCO2_eq],Central Latin America,SSP2,0.016200245003894283,0.031065294882120408,0.05024154604880777,0.07878788461961972
CO2_f [GtonCO2_eq],Central Latin America,SSP3,0.016628174019758787,0.027181347928620064,0.042989875459064505,0.06613868601699438
CO2_f [GtonCO2_eq],Central Latin America,SSP4,0.01659354128190415,0.027278310973049624,0.044950789064829653,0.07370451792114603
CO2_f [GtonCO2_eq],Central Latin America,SSP5,0.01596762389586971,0.033574807291774304,0.061464550036269786,0.09453378711276293
CO2_f [GtonCO2_eq],East Asia,SSP1,0.018892237722714415,0.036106983253907224,0.05271568485463531,0.07885215640278523
CO2_f [GtonCO2_eq],East Asia,SSP2,0.01893809042947042,0.033669338632692024,0.05087329951776497,0.07058594514988778
