,,,2050
Environmental Extension,Reference Region,SSP,
Land [Mkm2],Central Europe,SSP5,14.246305264520407
Water Cons. Blue [BCM],Central Europe,SSP5,33.56524934282283
Water Cons. Green [BCM],Central Europe,SSP5,546.4180700102843
Fossil Fuels [EJ],Central Europe,SSP5,1.3662988811972692
Electricity [TWh],Central Europe,SSP5,73.41390132288146
GHG [GtonCO2_eq],Central Europe,SSP5,1.4011540642223252
CO2_f [GtonCO2_eq],Central Europe,SSP5,0.10354250451630241
CH4 [GtonCO2_eq],Central Europe,SSP5,0.506775236196419
N2O [GtonCO2_eq],Central Europe,SSP5,0.3303296020945825
CO2_b [GtonCO2_eq],Central Europe,SSP5,0.46121601877921065
Eutrop. [MtonPO4_eq],Central Europe,SSP5,8.11634046051951
