,,PBA,IBA,CBA
RoW,Primary,0.0,30564047.449115366,0.0
RoW,Extraction of fossil fuels,545161504.1170632,3699828.087557514,0.0
RoW,Meat production,0.0,-230206.19244205384,-20613657.66784453
RoW,Manufacture of food,0.0,42758909.02300187,0.0
RoW,Other manufacturing,0.0,280947897.4940472,0.0
RoW,Services,0.0,72170774.0828879,0.0
RoW,Electricity,0.0,16710602.050545046,0.0
RoW,Energy services,0.0,45250.535098042434,0.0
RoW,Gas,0.0,371826.65689203376,0.0
RoW,Heat,0.0,4983185.873708114,0.0
RoW,Transport,0.0,221490.2807184375,0.0
RoW,Waste management,0.0,55681.45486718126,0.0
Africa,Primary,0.0,19191004.55362705,0.0
Africa,Extraction of fossil fuels,314514899.5727208,534172.0838421737,0.0
Africa,Meat production,0.0,14106619.687635293,880290061.3925352
Africa,Manufacture of food,0.0,12971641.621078871,0.0
Africa,Other manufacturing,0.0,90575527.19741443,0.0
Africa,Services,0.0,148822951.84186903,0.0
Africa,Electricity,0.0,120386293.58501258,0.0
Africa,Energy services,0.0,21702.715494210785,0.0
Africa,Gas,0.0,17450.328467605523,0.0
Africa,Heat,0.0,5225.32253492683,0.0
Africa,Transport,0.0,545295.1831982858,0.0
Africa,Waste management,0.0,199232.7736128543,0.0
