Year,SSP_Scenario,Scenario_region,Population,Type,Total_kg,total_Kt,dry_ton
2020,SSP1,Central Europe,996712840.3,beef,9683781789,9683.781789,3689520.862
2020,SSP1,East Asia,996712840.3,beef,6808155029,6808.155029,2593907.066
2020,SSP1,North Africa and Middle East,996712840.3,beef,6808265783,6808.265783,2593949.263
2020,SSP1,Central Latin America,996712840.3,beef,6838211992,6838.211992,2605358.769
2020,SSP2,North Africa and Middle East,1022193525,beef,6605482911,6605.482911,2516688.989
2020,SSP2,Central Europe,1022193525,beef,9687596678,9687.596678,3690974.334
2020,SSP2,Central Latin America,1022193525,beef,6675570596,6675.570596,2543392.397
2020,SSP2,East Asia,1022193525,beef,6644745235,6644.745235,2531647.935
2020,SSP3,North Africa and Middle East,1045757433,beef,6411857242,6411.857242,2442917.609
2020,SSP3,Central Latin America,1045757433,beef,6524263252,6524.263252,2485744.299
2020,SSP3,East Asia,1045757433,beef,6492727295,6492.727295,2473729.099
2020,SSP3,Central Europe,1045757433,beef,9740262752,9740.262752,3711040.109
2020,SSP4,Central Latin America,1044232337,beef,6449322850,6449.32285,2457192.006
2020,SSP4,East Asia,1044232337,beef,6417832884,6417.832884,2445194.329
2020,SSP4,North Africa and Middle East,1044232337,beef,6334882660,6334.88266,2413590.293
2020,SSP4,Central Europe,1044232337,beef,9689499019,9689.499019,3691699.126
2020,SSP5,East Asia,994750142.5,beef,6831055592,6831.055592,2602632.181
2020,SSP5,Central Europe,994750142.5,beef,9678451690,9678.45169,3687490.094
2020,SSP5,Central Latin America,994750142.5,beef,6861053368,6861.053368,2614061.333
2020,SSP5,North Africa and Middle East,994750142.5,beef,6829043331,6829.043331,2601865.509
2030,SSP1,Central Europe,1181202385,beef,13607069585,13607.06958,5184293.51
2030,SSP1,East Asia,1181202385,beef,10602192830,10602.19283,4039435.468
2030,SSP1,North Africa and Middle East,1181202385,beef,10703599804,10703.5998,4078071.524
2030,SSP1,Central Latin America,1181202385,beef,10645818201,10645.8182,4056056.734
2030,SSP2,North Africa and Middle East,1255444397,beef,9532289929,9532.289929,3631802.463
2030,SSP2,Central Europe,1255444397,beef,12658426393,12658.42639,4822860.455
2030,SSP2,Central Latin America,1255444397,beef,9516765438,9516.765438,3625887.632
2030,SSP2,East Asia,1255444397,beef,9478906142,9478.906142,3611463.24
2030,SSP3,North Africa and Middle East,1337405243,beef,8965110273,8965.110273,3415707.014
2030,SSP3,Central Latin America,1337405243,beef,8998267669,8998.267669,3428339.982
2030,SSP3,East Asia,1337405243,beef,8957936755,8957.936755,3412973.904
2030,SSP3,Central Europe,1337405243,beef,12898063772,12898.06377,4914162.296
2030,SSP4,Central Latin America,1331684744,beef,9056789582,9056.789582,3450636.831
2030,SSP4,East Asia,1331684744,beef,9016631175,9016.631175,3435336.478
2030,SSP4,North Africa and Middle East,1331684744,beef,9025729589,9025.729589,3438802.973
2030,SSP4,Central Europe,1331684744,beef,12894612615,12894.61262,4912847.408
2030,SSP5,East Asia,1173819717,beef,10780281112,10780.28111,4107287.103
2030,SSP5,Central Europe,1173819717,beef,13779363492,13779.36349,5249937.49
2030,SSP5,Central Latin America,1173819717,beef,10835223742,10835.22374,4128220.245
2030,SSP5,North Africa and Middle East,1173819717,beef,10903747578,10903.74758,4154327.828
2040,SSP1,Central Europe,1350538145,beef,21669592123,21669.59212,8256114.598
2040,SSP1,East Asia,1350538145,beef,15859670886,15859.67089,6042534.609
2040,SSP1,North Africa and Middle East,1350538145,beef,16621452564,16621.45256,6332773.425
2040,SSP1,Central Latin America,1350538145,beef,16129258852,16129.25885,6145247.622
2040,SSP2,North Africa and Middle East,1491265643,beef,14898205755,14898.20575,5676216.391
2040,SSP2,Central Europe,1491265643,beef,18800083555,18800.08356,7162831.836
2040,SSP2,Central Latin America,1491265643,beef,14757384700,14757.3847,5622563.571
2040,SSP2,East Asia,1491265643,beef,14628781614,14628.78161,5573565.793
2040,SSP3,North Africa and Middle East,1659910201,beef,11698501332,11698.50133,4457129.007
2040,SSP3,Central Latin America,1659910201,beef,11691714334,11691.71433,4454543.16
2040,SSP3,East Asia,1659910201,beef,11641657931,11641.65793,4435471.671
2040,SSP3,Central Europe,1659910201,beef,16328195557,16328.19556,6221042.508
2040,SSP4,Central Latin America,1646655145,beef,12274367208,12274.36721,4676533.907
2040,SSP4,East Asia,1646655145,beef,12224710525,12224.71053,4657614.712
2040,SSP4,North Africa and Middle East,1646655145,beef,12299017903,12299.0179,4685925.82
2040,SSP4,Central Europe,1646655145,beef,16538187186,16538.18719,6301049.319
2040,SSP5,East Asia,1335860194,beef,16256524503,16256.5245,6193735.835
2040,SSP5,Central Europe,1335860194,beef,23553272100,23553.2721,8973796.67
2040,SSP5,Central Latin America,1335860194,beef,16559216879,16559.21688,6309061.631
2040,SSP5,North Africa and Middle East,1335860194,beef,17172571319,17172.57132,6542749.673
2050,SSP1,Central Europe,1488035847,beef,28248153423,28248.15342,10762546.45
2050,SSP1,East Asia,1488035847,beef,18543458986,18543.45899,7065057.875
2050,SSP1,North Africa and Middle East,1488035847,beef,19591785407,19591.78541,7464470.241
2050,SSP1,Central Latin America,1488035847,beef,18866532182,18866.53218,7188148.761
2050,SSP2,North Africa and Middle East,1714457209,beef,21209727420,21209.72742,8080906.147
2050,SSP2,Central Europe,1714457209,beef,27758757386,27758.75739,10576086.57
2050,SSP2,Central Latin America,1714457209,beef,20605803983,20605.80398,7850811.316
2050,SSP2,East Asia,1714457209,beef,20304423523,20304.42352,7735985.361
2050,SSP3,North Africa and Middle East,2004913219,beef,15062086602,15062.0866,5738654.995
2050,SSP3,Central Latin America,2004913219,beef,15071107908,15071.10791,5742092.114
2050,SSP3,East Asia,2004913219,beef,15010647562,15010.64756,5719056.72
2050,SSP3,Central Europe,2004913219,beef,20216641984,20216.64198,7702540.594
2050,SSP4,Central Latin America,1981120264,beef,17253853185,17253.85318,6573718.062
2050,SSP4,East Asia,1981120264,beef,17193419497,17193.4195,6550692.83
2050,SSP4,North Africa and Middle East,1981120264,beef,17320826449,17320.82645,6599234.877
2050,SSP4,Central Europe,1981120264,beef,22079467048,22079.46705,8412276.946
2050,SSP5,East Asia,1464277473,beef,18187791720,18187.79172,6929548.645
2050,SSP5,Central Europe,1464277473,beef,30098196180,30098.19618,11467412.74
2050,SSP5,Central Latin America,1464277473,beef,18448738685,18448.73869,7028969.441
2050,SSP5,North Africa and Middle East,1464277473,beef,19125343815,19125.34382,7286755.995
2020,SSP1,Central Europe,996712840.3,poultry,7426224536,7426.224536,2316982.055
2020,SSP1,East Asia,996712840.3,poultry,5344896330,5344.89633,1667607.655
2020,SSP1,North Africa and Middle East,996712840.3,poultry,5535949890,5535.94989,1727216.366
2020,SSP1,Central Latin America,996712840.3,poultry,5340869590,5340.86959,1666351.312
2020,SSP2,North Africa and Middle East,1022193525,poultry,5313840869,5313.840869,1657918.351
2020,SSP2,Central Europe,1022193525,poultry,7318145330,7318.14533,2283261.343
2020,SSP2,Central Latin America,1022193525,poultry,5151735952,5151.735952,1607341.617
2020,SSP2,East Asia,1022193525,poultry,5155865634,5155.865634,1608630.078
2020,SSP3,North Africa and Middle East,1045757433,poultry,5212237053,5212.237053,1626217.961
2020,SSP3,Central Latin America,1045757433,poultry,5029327883,5029.327883,1569150.299
2020,SSP3,East Asia,1045757433,poultry,5033552763,5033.552763,1570468.462
2020,SSP3,Central Europe,1045757433,poultry,7279581037,7279.581037,2271229.284
2020,SSP4,Central Latin America,1044232337,poultry,4992660352,4992.660352,1557710.03
2020,SSP4,East Asia,1044232337,poultry,4996879071,4996.879071,1559026.27
2020,SSP4,North Africa and Middle East,1044232337,poultry,5175516842,5175.516842,1614761.255
2020,SSP4,Central Europe,1044232337,poultry,7245737591,7245.737591,2260670.128
2020,SSP5,East Asia,994750142.5,poultry,5363699136,5363.699136,1673474.13
2020,SSP5,Central Europe,994750142.5,poultry,7415323707,7415.323707,2313580.997
2020,SSP5,Central Latin America,994750142.5,poultry,5359680325,5359.680325,1672220.261
2020,SSP5,North Africa and Middle East,994750142.5,poultry,5553636882,5553.636882,1732734.707
2030,SSP1,Central Europe,1181202385,poultry,11053635599,11053.6356,3448734.307
2030,SSP1,East Asia,1181202385,poultry,8763736659,8763.736659,2734285.838
2030,SSP1,North Africa and Middle East,1181202385,poultry,9035843676,9035.843676,2819183.227
2030,SSP1,Central Latin America,1181202385,poultry,8774117717,8774.117717,2737524.728
2030,SSP2,North Africa and Middle East,1255444397,poultry,8000650500,8000.6505,2496202.956
2030,SSP2,Central Europe,1255444397,poultry,9831026740,9831.02674,3067280.343
2030,SSP2,Central Latin America,1255444397,poultry,7687550688,7687.550688,2398515.815
2030,SSP2,East Asia,1255444397,poultry,7692622708,7692.622708,2400098.285
2030,SSP3,North Africa and Middle East,1337405243,poultry,7316718269,7316.718269,2282816.1
2030,SSP3,Central Latin America,1337405243,poultry,7047971615,7047.971615,2198967.144
2030,SSP3,East Asia,1337405243,poultry,7053374759,7053.374759,2200652.925
2030,SSP3,Central Europe,1337405243,poultry,9712378357,9712.378357,3030262.047
2030,SSP4,Central Latin America,1331684744,poultry,7104554834,7104.554834,2216621.108
2030,SSP4,East Asia,1331684744,poultry,7109934867,7109.934867,2218299.679
2030,SSP4,North Africa and Middle East,1331684744,poultry,7413326335,7413.326335,2312957.817
2030,SSP4,Central Europe,1331684744,poultry,9710917853,9710.917853,3029806.37
2030,SSP5,East Asia,1173819717,poultry,9118906581,9118.906581,2845098.853
2030,SSP5,Central Europe,1173819717,poultry,11451379729,11451.37973,3572830.476
2030,SSP5,Central Latin America,1173819717,poultry,9142097732,9142.097732,2852334.492
2030,SSP5,North Africa and Middle East,1173819717,poultry,9377725919,9377.725919,2925850.487
2040,SSP1,Central Europe,1350538145,poultry,18623859929,18623.85993,5810644.298
2040,SSP1,East Asia,1350538145,poultry,16631181145,16631.18114,5188928.516
2040,SSP1,North Africa and Middle East,1350538145,poultry,17494701734,17494.70173,5458346.94
2040,SSP1,Central Latin America,1350538145,poultry,16700636685,16700.63668,5210598.644
2040,SSP2,North Africa and Middle East,1491265643,poultry,13617691578,13617.69158,4248719.773
2040,SSP2,Central Europe,1491265643,poultry,16127309051,16127.30905,5031720.424
2040,SSP2,Central Latin America,1491265643,poultry,13216682015,13216.68202,4123604.79
2040,SSP2,East Asia,1491265643,poultry,13187937923,13187.93792,4114636.631
2040,SSP3,North Africa and Middle East,1659910201,poultry,9661361375,9661.361375,3014344.749
2040,SSP3,Central Latin America,1659910201,poultry,9248329609,9248.329609,2885478.838
2040,SSP3,East Asia,1659910201,poultry,9255035679,9255.035679,2887571.132
2040,SSP3,Central Europe,1659910201,poultry,12401180038,12401.18004,3869168.172
2040,SSP4,Central Latin America,1646655145,poultry,9878301467,9878.301467,3082030.058
2040,SSP4,East Asia,1646655145,poultry,9884953987,9884.953987,3084105.644
