Impact,Region,SSP,2020,2030,2040,2050
Land [Mkm2],Central Europe,SSP1,6.788090584,9.744049892,14.34339186,15.42858652
Land [Mkm2],Central Europe,SSP2,6.789837672,8.850782983,12.09993233,15.11950716
Land [Mkm2],Central Europe,SSP3,6.846199205,9.067272108,10.15681512,10.43235565
Land [Mkm2],Central Europe,SSP4,6.794470676,9.064119328,10.31866286,11.58430938
Land [Mkm2],Central Europe,SSP5,6.782312611,9.910370429,15.79962175,16.56570183
Land [Mkm2],Central Latin America,SSP1,3.991374104,7.522715064,11.74185946,12.58664396
Land [Mkm2],Central Latin America,SSP2,3.817438282,6.386483129,10.4013319,13.84465809
Land [Mkm2],Central Latin America,SSP3,3.659065368,5.870687221,7.618520053,9.308832854
Land [Mkm2],Central Latin America,SSP4,3.579369812,5.929009088,8.136072567,11.01837253
Land [Mkm2],Central Latin America,SSP5,4.015361312,7.721751416,12.18229818,12.38564249
Land [Mkm2],East Asia,SSP1,3.969575011,7.510692882,11.57213857,12.44502931
Land [Mkm2],East Asia,SSP2,3.794604942,6.376478289,10.35955188,13.7403324
Land [Mkm2],East Asia,SSP3,3.635210773,5.85660281,7.633640774,9.374761541
Land [Mkm2],East Asia,SSP4,3.55542542,5.91528288,8.154975425,11.10141703
Land [Mkm2],East Asia,SSP5,3.993667463,7.697464663,11.98376108,12.26952841
Land [Mkm2],North Africa and Middle East,SSP1,3.961854288,7.629860433,12.44461092,13.66449223
Land [Mkm2],North Africa and Middle East,SSP2,3.741624508,6.435980769,10.69936984,14.82894971
Land [Mkm2],North Africa and Middle East,SSP3,3.538992308,5.857332819,7.7105409,9.519781794
Land [Mkm2],North Africa and Middle East,SSP4,3.456516019,5.92486723,8.259433513,11.35620571
Land [Mkm2],North Africa and Middle East,SSP5,3.985708251,7.843514137,13.02852493,13.45612088
Land [Mkm2],Median,SSP1,4.07373633,8.019081624,13.45186735,15.50533959
Land [Mkm2],Median,SSP2,3.891892621,6.779884889,11.77627077,17.01064838
Land [Mkm2],Median,SSP3,3.728024114,6.197874362,8.555630838,11.23393737
Land [Mkm2],Median,SSP4,3.645580173,6.26433741,9.155773134,13.36548538
Land [Mkm2],Median,SSP5,4.099406724,8.234332931,14.00620986,15.20148484
Water Cons. Blue [BCM],Central Europe,SSP1,9.534827813,14.41472883,24.00143899,29.16177201
Water Cons. Blue [BCM],Central Europe,SSP2,9.506241376,12.92585114,19.8621078,28.4243686
Water Cons. Blue [BCM],Central Europe,SSP3,9.616077855,13.15520772,16.14254008,18.67579515
Water Cons. Blue [BCM],Central Europe,SSP4,9.555901062,13.15138138,16.40245211,20.97039053
Water Cons. Blue [BCM],Central Europe,SSP5,9.52286424,14.75093901,26.43619507,31.34166765
Water Cons. Blue [BCM],Central Latin America,SSP1,6.632293987,13.90655013,30.04140968,42.77985149
Water Cons. Blue [BCM],Central Latin America,SSP2,6.365434377,11.70593123,24.2649236,43.24858864
Water Cons. Blue [BCM],Central Latin America,SSP3,6.181428924,10.82987872,16.90862748,24.96844978
Water Cons. Blue [BCM],Central Latin America,SSP4,6.065661463,10.9314423,18.00911496,29.67455589
Water Cons. Blue [BCM],Central Latin America,SSP5,6.661574999,14.45502757,32.37795661,45.87452278
