,,,2020,2030,2040,2050
Environmental Extension,Reference Region,SSP,,,,
Land [Mkm2],Central Europe,SSP1,7.636249351611501,12.217485655871146,13.627729495865736,13.706653165535112
Land [Mkm2],Central Europe,SSP2,7.824662563900914,11.443918733677556,14.46985686548005,14.183264665424405
Land [Mkm2],Central Europe,SSP3,8.051239371685318,10.6085228386573,13.085292402573996,14.089600418203053
Land [Mkm2],Central Europe,SSP4,8.035284096224316,10.659414137788746,13.53066424925823,15.24227435910385
Land [Mkm2],Central Europe,SSP5,7.610410859852004,12.451750194402775,14.382838497172916,13.311122941517972
Land [Mkm2],Central Latin America,SSP1,7.05826823589052,11.580612510212418,16.13422893066279,20.675169514883763
Land [Mkm2],Central Latin America,SSP2,7.281267538328033,10.87390002661993,14.079633397348719,17.964617806909594
Land [Mkm2],Central Latin America,SSP3,7.546483275408822,9.82409763584285,12.255998935024843,14.625337689327589
Land [Mkm2],Central Latin America,SSP4,7.531143718795945,9.799292374828633,12.70054396679342,16.06767171935894
Land [Mkm2],Central Latin America,SSP5,7.027106443697465,11.530486398545971,18.838539647615526,20.21998045491828
Land [Mkm2],East Asia,SSP1,5.461676676170805,10.302967404139945,12.83979129309593,16.290878574829257
Land [Mkm2],East Asia,SSP2,5.532052907175047,9.57826488807923,12.818871547861828,14.969267375839081
Land [Mkm2],East Asia,SSP3,5.718711503638697,7.960535576449505,10.95040271923489,13.168084711456109
Land [Mkm2],East Asia,SSP4,5.711631027137885,8.050949804045077,11.619624137595299,14.868967003903117
Land [Mkm2],East Asia,SSP5,5.4616083002072635,10.501671287016041,14.191803768117255,16.401790198456357
Land [Mkm2],North Africa and Middle East,SSP1,5.5500172459709045,8.922227611724885,11.751292920433121,13.1076466460452
Land [Mkm2],North Africa and Middle East,SSP2,5.699702440249703,8.441061211276358,11.297894829970915,13.64471023199238
Land [Mkm2],North Africa and Middle East,SSP3,5.910275063403684,7.6946700054344515,9.926125064739232,12.118534366484985
Land [Mkm2],North Africa and Middle East,SSP4,5.909362033153485,7.642570174357926,10.241711169855705,13.275970419140739
Land [Mkm2],North Africa and Middle East,SSP5,5.509533342576621,9.21447471405321,12.69466674191205,13.026131925414676
Water Cons. Blue [BCM],Central Europe,SSP1,7.278413397566644,12.412151699064033,15.576810318011743,18.3327214342489
Water Cons. Blue [BCM],Central Europe,SSP2,7.457997534411914,11.626259228399832,16.5393813980876,18.97019184764251
Water Cons. Blue [BCM],Central Europe,SSP3,7.673956914121813,10.777552639371399,14.956792162085724,18.844915419335074
Water Cons. Blue [BCM],Central Europe,SSP4,7.65874930560551,10.829254809749026,15.465862493922376,20.38662293957905
Water Cons. Blue [BCM],Central Europe,SSP5,7.253785701962632,12.650148867367921,16.43991738849715,17.803697658128424
Water Cons. Blue [BCM],Central Latin America,SSP1,6.983855105002848,12.628841804016965,20.585376598546524,31.394520702325828
Water Cons. Blue [BCM],Central Latin America,SSP2,7.204503395011069,11.858160620433889,17.96395458996652,27.278642878514287
Water Cons. Blue [BCM],Central Latin America,SSP3,7.4669230448955455,10.713334445948306,15.637211716429148,22.20806298770578
Water Cons. Blue [BCM],Central Latin America,SSP4,7.451745208466909,10.686283914987943,16.204398839727958,24.398196690475544
Water Cons. Blue [BCM],Central Latin America,SSP5,6.953021841912492,12.574178483410071,24.035758689090404,30.703332059053654
Water Cons. Blue [BCM],East Asia,SSP1,5.28017986738978,10.724008613555917,15.08478365873362,21.935718479926486
Water Cons. Blue [BCM],East Asia,SSP2,5.348217428032979,9.969690394404171,15.060206169595249,20.156164905367483
Water Cons. Blue [BCM],East Asia,SSP3,5.528673178437116,8.285850934247295,12.865042135466192,17.730866866666215
Water Cons. Blue [BCM],East Asia,SSP4,5.521827993032444,8.379960030924108,13.651274565970962,20.02111014376681
Water Cons. Blue [BCM],East Asia,SSP5,5.280113763625733,10.930832732070666,16.673190761592082,22.085061324808937
Water Cons. Blue [BCM],North Africa and Middle East,SSP1,5.9184130740726975,11.185652038774782,18.681640909463646,26.418101083193196
Water Cons. Blue [BCM],North Africa and Middle East,SSP2,6.0780339854148995,10.582421527042113,17.960850408174657,27.50053796027917
Water Cons. Blue [BCM],North Africa and Middle East,SSP3,6.302583876094,9.646682978729071,15.780076740322961,24.424572504847472
Water Cons. Blue [BCM],North Africa and Middle East,SSP4,6.301610241251183,9.581366265566613,16.28178036830866,26.757353015471416
Water Cons. Blue [BCM],North Africa and Middle East,SSP5,5.875241953604682,11.552037490721569,20.18137128766918,26.25381040710836
Water Cons. Green [BCM],Central Europe,SSP1,85.44943545614325,144.44441028768807,178.5706213873187,206.46770832536018
Water Cons. Green [BCM],Central Europe,SSP2,87.55777449522509,135.29871361722883,189.6054168544585,213.64706005689098
Water Cons. Green [BCM],Central Europe,SSP3,90.0931631943394,125.42202779160337,171.4628101532466,212.2361654905046
Water Cons. Green [BCM],Central Europe,SSP4,89.91462406895144,126.02370344715212,177.2987292936419,229.59926238476515
Water Cons. Green [BCM],Central Europe,SSP5,85.160303392497,147.21406388660378,188.46517378577258,200.5097098311357
Water Cons. Green [BCM],Central Latin America,SSP1,77.87161194755417,132.54608260004866,196.8821111372587,272.78277217475835
Water Cons. Green [BCM],Central Latin America,SSP2,80.3318918010168,124.45739375626306,171.81037651369678,237.02046277958223
Water Cons. Green [BCM],Central Latin America,SSP3,83.25793205149614,112.44186398481698,149.55700423267453,192.96287539956535
Water Cons. Green [BCM],Central Latin America,SSP4,83.08869563827353,112.1579549798241,154.98168022559193,211.99265287306787
Water Cons. Green [BCM],Central Latin America,SSP5,77.52781387871559,131.9723634007534,229.88216371973857,266.77712692257774
Water Cons. Green [BCM],East Asia,SSP1,59.27421842951296,113.90379916281293,146.65515335072539,193.72259613794915
Water Cons. Green [BCM],East Asia,SSP2,60.03799415905684,105.89189670842052,146.4162095567765,178.00668791604633
Water Cons. Green [BCM],East Asia,SSP3,62.06375347659116,88.00719346102225,125.07469579584775,156.58796698968405
Water Cons. Green [BCM],East Asia,SSP4,61.986910826341685,89.00676218878479,132.7184936961546,176.81396842246664
Water Cons. Green [BCM],East Asia,SSP5,59.273476362188305,116.1005572692512,162.09774056360317,195.04149907929647
Water Cons. Green [BCM],North Africa and Middle East,SSP1,60.398143214362086,99.19815357845204,135.61898011916315,158.2906465319475
Water Cons. Green [BCM],North Africa and Middle East,SSP2,62.0270945128006,93.8485009401895,130.38641660237255,164.77633725408953
Water Cons. Green [BCM],North Africa and Middle East,SSP3,64.3186541393547,85.55005433255958,114.55513592876058,146.34592247588176
Water Cons. Green [BCM],North Africa and Middle East,SSP4,64.30871807441031,84.97080358165165,118.1972428868089,160.3233591604835
Water Cons. Green [BCM],North Africa and Middle East,SSP5,59.95757654831566,102.44738394977009,146.50624132472612,157.30625793971177
Fossil Fuels [EJ],Central Europe,SSP1,0.08460127476360507,0.15181633975827746,0.20649946021624457,0.26488848806178433
Fossil Fuels [EJ],Central Europe,SSP2,0.08668868668773598,0.14220387922124705,0.2192601220241887,0.274099263157699
Fossil Fuels [EJ],Central Europe,SSP3,0.0891989094293454,0.13182312243959862,0.19827997163387162,0.2722891509050512
Fossil Fuels [EJ],Central Europe,SSP4,0.08902214246144563,0.13245550548304205,0.20502864139492205,0.2945651984427822
Fossil Fuels [EJ],Central Europe,SSP5,0.08431501258939922,0.1547273466372938,0.21794154242545638,0.25724465248948447
Fossil Fuels [EJ],Central Latin America,SSP1,0.07575241818780155,0.13431194571480679,0.2127404118281132,0.3155727636836056
Fossil Fuels [EJ],Central Latin America,SSP2,0.07814574412287235,0.1261154942154768,0.1856492194388809,0.2742006098481602
Fossil Fuels [EJ],Central Latin America,SSP3,0.08099215527773039,0.11393988591713687,0.1616034005585388,0.22323194161808368
Fossil Fuels [EJ],Central Latin America,SSP4,0.0808275244547565,0.11365219449585746,0.16746501895790394,0.24524681969508466
Fossil Fuels [EJ],Central Latin America,SSP5,0.07541797622036564,0.13373058306348773,0.24839852590702038,0.308625044605677
Fossil Fuels [EJ],East Asia,SSP1,0.05948133549691813,0.1229088375067311,0.17728889304874987,0.2641447675812253
Fossil Fuels [EJ],East Asia,SSP2,0.06024778002655667,0.1142635278270764,0.17700003800492167,0.24271580158280975
Fossil Fuels [EJ],East Asia,SSP3,0.06228061779198821,0.09496489070797215,0.15120064899106317,0.21351093247958342
Fossil Fuels [EJ],East Asia,SSP4,0.06220350663664721,0.0960434836197562,0.16044110483606686,0.24108950387780798
Fossil Fuels [EJ],East Asia,SSP5,0.05948059083656938,0.12527926752997898,0.19595717119192219,0.2659431190277356
Fossil Fuels [EJ],North Africa and Middle East,SSP1,0.05906436966064249,0.1016442150055579,0.14968796546245156,0.18931056021207154
Fossil Fuels [EJ],North Africa and Middle East,SSP2,0.06065734879279226,0.09616264882992455,0.14391258072903215,0.1970672392790298
Fossil Fuels [EJ],North Africa and Middle East,SSP3,0.06289830385919212,0.08765957632969339,0.12643897789171657,0.17502505154168496
Fossil Fuels [EJ],North Africa and Middle East,SSP4,0.0628885872125564,0.08706604221853205,0.13045891359923587,0.19174161962746905
Fossil Fuels [EJ],North Africa and Middle East,SSP5,0.05863353203765185,0.10497356599424094,0.16170466090321298,0.18813326287962726
Electricity [TWh],Central Europe,SSP1,5.58989499185295,9.97649192331343,13.46018956298475,17.127606270067645
Electricity [TWh],Central Europe,SSP2,5.727817422706288,9.344816603652065,14.291963780463517,17.72317208900566
Electricity [TWh],Central Europe,SSP3,5.893676407459599,8.662653297682343,12.924421215959212,17.606130800423138
Electricity [TWh],Central Europe,SSP4,5.881996810526103,8.704209854359538,13.364317640928698,19.046493023613987
Electricity [TWh],Central Europe,SSP5,5.570980672896606,10.167786461662457,14.206015219927941,16.633358267584665
Electricity [TWh],Central Latin America,SSP1,5.023266357458946,8.889727859320553,14.041156082168346,20.76992141495247
