Impact,Region,SSP,2020,2030,2040,2050
Land [Mkm2],Central Europe,SSP1,7.1,10,14.6,15.6
Land [Mkm2],Central Europe,SSP2,7.1,9.1,12.3,15.3
Land [Mkm2],Central Europe,SSP3,7.1,9.3,10.4,10.6
Land [Mkm2],Central Europe,SSP4,7.1,9.3,10.5,11.8
Land [Mkm2],Central Europe,SSP5,7.1,10.2,16,16.7
Land [Mkm2],Central Latin America,SSP1,4.3,7.8,12,12.8
Land [Mkm2],Central Latin America,SSP2,4.1,6.7,10.6,14.1
Land [Mkm2],Central Latin America,SSP3,3.9,6.1,7.9,9.5
Land [Mkm2],Central Latin America,SSP4,3.9,6.2,8.4,11.2
Land [Mkm2],Central Latin America,SSP5,4.3,8,12.4,12.6
Land [Mkm2],East Asia,SSP1,4.2,7.8,11.8,12.7
Land [Mkm2],East Asia,SSP2,4.1,6.6,10.6,14
Land [Mkm2],East Asia,SSP3,3.9,6.1,7.9,9.6
Land [Mkm2],East Asia,SSP4,3.8,6.2,8.4,11.3
Land [Mkm2],East Asia,SSP5,4.3,8,12.2,12.5
Land [Mkm2],North Africa and Middle East,SSP1,4.3,8,12.8,14.1
Land [Mkm2],North Africa and Middle East,SSP2,4.1,6.8,11.1,15.2
Land [Mkm2],North Africa and Middle East,SSP3,3.9,6.2,8.1,9.9
Land [Mkm2],North Africa and Middle East,SSP4,3.8,6.3,8.6,11.8
Land [Mkm2],North Africa and Middle East,SSP5,4.3,8.2,13.4,13.9
Land [Mkm2],Median,SSP1,4.4,8.4,13.9,16
Land [Mkm2],Median,SSP2,4.2,7.1,12.2,17.5
Land [Mkm2],Median,SSP3,4.1,6.6,9,11.7
Land [Mkm2],Median,SSP4,4,6.6,9.6,13.8
Land [Mkm2],Median,SSP5,4.4,8.6,14.4,15.7
Water Cons. Blue [BCM],Central Europe,SSP1,10.1,14.9,24.4,29.5
Water Cons. Blue [BCM],Central Europe,SSP2,10,13.4,20.3,28.8
Water Cons. Blue [BCM],Central Europe,SSP3,10.1,13.6,16.6,19
Water Cons. Blue [BCM],Central Europe,SSP4,10.1,13.6,16.8,21.3
Water Cons. Blue [BCM],Central Europe,SSP5,10,15.2,26.9,31.7
Water Cons. Blue [BCM],Central Latin America,SSP1,7.2,14.5,30.6,43.4
Water Cons. Blue [BCM],Central Latin America,SSP2,6.9,12.3,24.9,43.9
Water Cons. Blue [BCM],Central Latin America,SSP3,6.8,11.4,17.5,25.6
Water Cons. Blue [BCM],Central Latin America,SSP4,6.6,11.5,18.6,30.3
Water Cons. Blue [BCM],Central Latin America,SSP5,7.2,15,33,46.5
Water Cons. Blue [BCM],East Asia,SSP1,6.6,12.1,22.2,27.8
Water Cons. Blue [BCM],East Asia,SSP2,6.3,10.3,18.3,28.2
Water Cons. Blue [BCM],East Asia,SSP3,6.2,9.6,13,16.9
Water Cons. Blue [BCM],East Asia,SSP4,6.1,9.7,13.8,19.9
Water Cons. Blue [BCM],East Asia,SSP5,6.6,12.6,23.8,29.6
Water Cons. Blue [BCM],North Africa and Middle East,SSP1,13,36.3,110.9,196.4
Water Cons. Blue [BCM],North Africa and Middle East,SSP2,12.3,30.8,85.3,193.5
Water Cons. Blue [BCM],North Africa and Middle East,SSP3,12,28,58.9,105.7
Water Cons. Blue [BCM],North Africa and Middle East,SSP4,11.7,28.6,62.8,125.2
Water Cons. Blue [BCM],North Africa and Middle East,SSP5,13.1,37.8,121.2,211.5
Water Cons. Blue [BCM],Median,SSP1,8.4,19,45.3,71.6
Water Cons. Blue [BCM],Median,SSP2,8.1,16.1,36.4,71.3
Water Cons. Blue [BCM],Median,SSP3,7.9,14.8,25.8,41.5
Water Cons. Blue [BCM],Median,SSP4,7.7,15,27.5,49.1
Water Cons. Blue [BCM],Median,SSP5,8.5,19.6,49.1,77
Water Cons. Green [BCM],Central Europe,SSP1,205,388,887.5,1430.8
Water Cons. Green [BCM],Central Europe,SSP2,204.1,347.2,732.4,1393.4
Water Cons. Green [BCM],Central Europe,SSP3,206.5,351.9,589.7,904.8
Water Cons. Green [BCM],Central Europe,SSP4,205.4,351.8,599,1018.9
Water Cons. Green [BCM],Central Europe,SSP5,204.7,397.9,975.2,1535.7
Water Cons. Green [BCM],Central Latin America,SSP1,103.3,187.6,357.8,447.8
Water Cons. Green [BCM],Central Latin America,SSP2,99.6,158.5,283,444.5
Water Cons. Green [BCM],Central Latin America,SSP3,97.3,147.4,196,249
Water Cons. Green [BCM],Central Latin America,SSP4,95.8,148.7,208.2,295.4
Water Cons. Green [BCM],Central Latin America,SSP5,103.7,195.6,388.9,487.9
Water Cons. Green [BCM],East Asia,SSP1,101.2,179.2,322.7,386.8
Water Cons. Green [BCM],East Asia,SSP2,97.6,151.4,257.4,382.1
Water Cons. Green [BCM],East Asia,SSP3,95.4,140.9,179.5,217
Water Cons. Green [BCM],East Asia,SSP4,93.8,142.1,190.7,257.2
Water Cons. Green [BCM],East Asia,SSP5,101.6,186.1,351.4,420.5
Water Cons. Green [BCM],North Africa and Middle East,SSP1,105.9,193,374,460.4
Water Cons. Green [BCM],North Africa and Middle East,SSP2,100.5,163.3,285.5,452
Water Cons. Green [BCM],North Africa and Middle East,SSP3,98,148.7,195.9,244.3
Water Cons. Green [BCM],North Africa and Middle East,SSP4,96.3,152.1,209.2,289.6
