,,,2020,2030,2040,2050
Environmental Extension,Reference Region,SSP,,,,
Land [Mkm2],Central Europe,SSP1,0.17183952304124947,0.3298302575664271,0.4777834097020781,0.6536560685352305
Land [Mkm2],Central Europe,SSP2,0.17445207047598085,0.3024605785194259,0.4501229349748255,0.5788682550413178
Land [Mkm2],Central Europe,SSP3,0.17564266922588376,0.2713658333262951,0.3840777218563815,0.4855803256072482
Land [Mkm2],Central Europe,SSP4,0.17534290017171617,0.27298986220185456,0.39883096145113306,0.5382978905026079
Land [Mkm2],Central Europe,SSP5,0.1723254925485987,0.33662995761195713,0.5277415438152174,0.7640204677239502
Land [Mkm2],Central Latin America,SSP1,0.08166919357895497,0.13770304954659554,0.19120927118614572,0.3029598499894954
Land [Mkm2],Central Latin America,SSP2,0.08367798934662218,0.12891248133409455,0.18032446910764144,0.2645447704577372
Land [Mkm2],Central Latin America,SSP3,0.08595143746267524,0.11716720354801603,0.15233911799623026,0.21171508492494914
Land [Mkm2],Central Latin America,SSP4,0.08578171347696294,0.1174379869042854,0.1591955969895227,0.24291601826281523
Land [Mkm2],Central Latin America,SSP5,0.08281097312984044,0.14127472160550994,0.21424696708282237,0.33453677445247715
Land [Mkm2],East Asia,SSP1,0.17504008453556094,0.27665707564608866,0.35726530242107024,0.4467252026013641
Land [Mkm2],East Asia,SSP2,0.17546456252499762,0.25990235540771905,0.3407353192199075,0.4111868019001221
Land [Mkm2],East Asia,SSP3,0.1778526953298845,0.2369205329804866,0.29706001084866074,0.3403445024817291
Land [Mkm2],East Asia,SSP4,0.17762831345359584,0.23880443553611583,0.3080607063357486,0.3859331769141574
Land [Mkm2],East Asia,SSP5,0.17579393769476556,0.28261456647211186,0.3849888068170148,0.4703191999942316
Land [Mkm2],North Africa and Middle East,SSP1,0.07284235686126958,0.11047777689699673,0.13699520238893773,0.202582093856766
Land [Mkm2],North Africa and Middle East,SSP2,0.07429557321620696,0.11345700650754921,0.13808607422026445,0.18995352890968986
Land [Mkm2],North Africa and Middle East,SSP3,0.07726145382878002,0.1092003686126085,0.14135788838921406,0.18866168488517648
Land [Mkm2],North Africa and Middle East,SSP4,0.07728032814762857,0.10889373322658973,0.1445862670947247,0.18958725964700884
Land [Mkm2],North Africa and Middle East,SSP5,0.07293684289094207,0.11065371017878015,0.1440591845149153,0.21691785109477119
Water Cons. Blue [BCM],Central Europe,SSP1,2.846989315434874,5.495732051469604,8.037026161159085,11.115947668553865
Water Cons. Blue [BCM],Central Europe,SSP2,2.8902732730491834,5.03969013622218,7.571735917737527,9.844120692511453
Water Cons. Blue [BCM],Central Europe,SSP3,2.9099987812415185,4.521580036076307,6.460757397241499,8.257684351475183
Water Cons. Blue [BCM],Central Europe,SSP4,2.9050322911169006,4.548640099058959,6.708928786560754,9.154188982549046
Water Cons. Blue [BCM],Central Europe,SSP5,2.8550407227617445,5.609030721378986,8.87739613353264,12.992783125099658
Water Cons. Blue [BCM],Central Latin America,SSP1,1.494129244853776,2.7822025112213438,4.448488744505631,8.055224169122935
Water Cons. Blue [BCM],Central Latin America,SSP2,1.5308799506111188,2.6045946729551623,4.195253536673408,7.03382784515802
Water Cons. Blue [BCM],Central Latin America,SSP3,1.5724724430453134,2.3672888075101635,3.5441736039517644,5.629169902049684
Water Cons. Blue [BCM],Central Latin America,SSP4,1.5693673607069856,2.372759812954066,3.7036897688154773,6.458753466733664
Water Cons. Blue [BCM],Central Latin America,SSP5,1.5150179807770747,2.8543658729113113,4.984461347984983,8.894804744296673
Water Cons. Blue [BCM],East Asia,SSP1,3.1222482717118156,5.346068479477568,7.8032995801053255,11.071242267123827
Water Cons. Blue [BCM],East Asia,SSP2,3.1298198269487574,5.022303466298485,7.442255812091874,10.190489979934805
Water Cons. Blue [BCM],East Asia,SSP3,3.1724177469714427,4.578207120004902,6.4883106258438055,8.434797095299862
Water Cons. Blue [BCM],East Asia,SSP4,3.168415372731292,4.614611293101966,6.7285850714430575,9.564626476588476
Water Cons. Blue [BCM],East Asia,SSP5,3.1356950015248044,5.461189894121442,8.408829444705997,11.655975028240228
Water Cons. Blue [BCM],North Africa and Middle East,SSP1,1.4235104941030094,2.5052784457961916,3.7702827154131078,6.593184260146
Water Cons. Blue [BCM],North Africa and Middle East,SSP2,1.4519097499766058,2.572837731807597,3.800304899681294,6.1821782622944905
Water Cons. Blue [BCM],North Africa and Middle East,SSP3,1.5098700131680263,2.476310959929127,3.8903493989985645,6.140134241886335
Water Cons. Blue [BCM],North Africa and Middle East,SSP4,1.5102388616251123,2.4693574617254646,3.9791984989577758,6.1702577579123465
Water Cons. Blue [BCM],North Africa and Middle East,SSP5,1.425356972725607,2.509268043261397,3.96469251403713,7.059752095308134
Water Cons. Green [BCM],Central Europe,SSP1,61.97338595449764,119.59785558808025,174.8202265664388,241.665143037596
Water Cons. Green [BCM],Central Europe,SSP2,62.9155930067228,109.67349344517868,164.69930072394118,214.0151164954377
Water Cons. Green [BCM],Central Europe,SSP3,63.34497871800886,98.39840645903371,140.53345719396214,179.52535667481294
Water Cons. Green [BCM],Central Europe,SSP4,63.23686794722498,98.987286243261,145.9316452347458,199.01572549958382
Water Cons. Green [BCM],Central Europe,SSP5,62.14864933570926,122.06345577283516,193.09983223388704,282.46829564113324
Water Cons. Green [BCM],Central Latin America,SSP1,29.254285949432948,49.23194468670235,68.15256509199457,107.62405509841477
Water Cons. Green [BCM],Central Latin America,SSP2,29.973845959738508,46.0891183709061,64.27290393636511,93.97740642287032
Water Cons. Green [BCM],Central Latin America,SSP3,30.78820567522275,41.889916769816686,54.29810799146922,75.21008466034324
