Impact,Region,SSP,Approach,2020,2030,2040,2050
Land [Mkm2],Central Europe,SSP1,pessimistic,7.056696976,9.988604234,14.55186813,15.60098472
Land [Mkm2],Central Europe,SSP1,baseline,7.056696976,9.988604234,14.55186813,15.60098472
Land [Mkm2],Central Europe,SSP1,optimistic,8.496659554,11.73883832,16.688356,17.53033873
Land [Mkm2],Central Europe,SSP2,pessimistic,7.058444065,9.095337324,12.3084086,15.29190535
Land [Mkm2],Central Europe,SSP2,baseline,7.058444065,9.095337324,12.3084086,15.29190535
Land [Mkm2],Central Europe,SSP2,optimistic,8.498785126,10.72248186,14.15984304,17.18714873
Land [Mkm2],Central Europe,SSP3,pessimistic,7.114805597,9.31182645,10.36529139,10.60475384
Land [Mkm2],Central Europe,SSP3,baseline,7.114805597,9.31182645,10.36529139,10.60475384
Land [Mkm2],Central Europe,SSP3,optimistic,8.563186729,10.96933257,11.97069702,11.98149786
Land [Mkm2],Central Europe,SSP4,pessimistic,7.063077068,9.30867367,10.52713913,11.75670757
Land [Mkm2],Central Europe,SSP4,baseline,7.063077068,9.30867367,10.52713913,11.75670757
Land [Mkm2],Central Europe,SSP4,optimistic,8.503976278,10.96574007,12.15320779,13.26107788
Land [Mkm2],Central Europe,SSP5,pessimistic,7.050919003,10.15492477,16.00809801,16.73810002
Land [Mkm2],Central Europe,SSP5,baseline,7.050919003,10.15492477,16.00809801,16.73810002
Land [Mkm2],Central Europe,SSP5,optimistic,8.490063932,11.92784423,18.33053667,18.79414361
Land [Mkm2],Central Latin America,SSP1,pessimistic,4.270958488,7.78922539,11.9887587,12.81393211
Land [Mkm2],Central Latin America,SSP1,baseline,4.270958488,7.78922539,11.9887587,12.81393211
Land [Mkm2],Central Latin America,SSP1,optimistic,5.333364455,9.296934446,13.95280831,14.72600356
Land [Mkm2],Central Latin America,SSP2,pessimistic,4.097022666,6.652993455,10.64823114,14.07194624
Land [Mkm2],Central Latin America,SSP2,baseline,4.097022666,6.652993455,10.64823114,14.07194624
Land [Mkm2],Central Latin America,SSP2,optimistic,5.134169847,7.999896121,12.4363144,16.15089505
Land [Mkm2],Central Latin America,SSP3,pessimistic,3.938649752,6.137197547,7.865419291,9.536121005
Land [Mkm2],Central Latin America,SSP3,baseline,3.938649752,6.137197547,7.865419291,9.536121005
Land [Mkm2],Central Latin America,SSP3,optimistic,4.952628596,7.410854082,9.278118805,11.04436537
Land [Mkm2],Central Latin America,SSP4,pessimistic,3.858954196,6.195519414,8.382971806,11.24566068
Land [Mkm2],Central Latin America,SSP4,baseline,3.858954196,6.195519414,8.382971806,11.24566068
Land [Mkm2],Central Latin America,SSP4,optimistic,4.86132804,7.477456526,9.86604738,12.97302217
Land [Mkm2],Central Latin America,SSP5,pessimistic,4.294945697,7.988261742,12.42919742,12.61293064
Land [Mkm2],Central Latin America,SSP5,baseline,4.294945697,7.988261742,12.42919742,12.61293064
Land [Mkm2],Central Latin America,SSP5,optimistic,5.360856957,9.523707305,14.4500624,14.49266421
Land [Mkm2],East Asia,SSP1,pessimistic,4.247202363,7.773289144,11.81218819,12.6625323
Land [Mkm2],East Asia,SSP1,baseline,4.247202363,7.773289144,11.81218819,12.6625323
Land [Mkm2],East Asia,SSP1,optimistic,5.307381614,9.281910522,13.75919094,14.56587366
Land [Mkm2],East Asia,SSP2,pessimistic,4.072232294,6.639074551,10.59960151,13.95783539
Land [Mkm2],East Asia,SSP2,baseline,4.072232294,6.639074551,10.59960151,13.95783539
Land [Mkm2],East Asia,SSP2,optimistic,5.106986736,7.987026094,12.38808828,16.03482627
