,,PBA,IBA,CBA
RoW,Primary,0.0,35191088.64276219,0.0
RoW,Extraction of fossil fuels,585746845.4309322,3325965.8393059378,0.0
RoW,Meat production,0.0,1554893.740173006,178527589.01974124
RoW,Manufacture of food,0.0,33125655.988602895,0.0
RoW,Other manufacturing,0.0,233444661.82485914,0.0
RoW,Services,0.0,139144621.77491644,0.0
RoW,Electricity,0.0,87091201.4364619,0.0
RoW,Energy services,0.0,67950.47701281973,0.0
RoW,Gas,0.0,239673.83189841526,0.0
RoW,Heat,0.0,2292714.3101007426,0.0
RoW,Transport,0.0,427740.13334805914,0.0
RoW,Waste management,0.0,196768.30813957116,0.0
Africa,Primary,0.0,13839170.902717324,0.0
Africa,Extraction of fossil fuels,249620931.5217197,416116.7923972751,0.0
Africa,Meat production,0.0,10243683.102167629,656840187.9677927
Africa,Manufacture of food,0.0,9391847.697095279,0.0
Africa,Other manufacturing,0.0,57733298.31548667,0.0
Africa,Services,0.0,114286716.30027655,0.0
Africa,Electricity,0.0,92618855.1454915,0.0
Africa,Energy services,0.0,15832.425244392201,0.0
Africa,Gas,0.0,125254.41398286079,0.0
Africa,Heat,0.0,4971.368584669737,0.0
Africa,Transport,0.0,415688.0052195626,0.0
Africa,Waste management,0.0,173406.17640702924,0.0
