,,PBA,IBA,CBA
RoW,Primary,0.0,12372931.317548702,0.0
RoW,Extraction of fossil fuels,585746845.4309322,1170279.3018920769,0.0
RoW,Meat production,0.0,546925.8176751258,178527589.01974124
RoW,Manufacturing,0.0,248407054.45565823,0.0
RoW,Services,0.0,172712564.77418193,0.0
RoW,Energy,0.0,30768442.126973107,0.0
Africa,Primary,0.0,4040718.5282367747,0.0
Africa,Extraction of fossil fuels,249620931.5217197,112788.29649035799,0.0
Africa,Meat production,0.0,2736600.0010807207,656840187.9677927
Africa,Manufacturing,0.0,164924338.7542783,0.0
Africa,Services,0.0,183155740.76093715,0.0
Africa,Energy,0.0,14419392.817699457,0.0
