Impact,Scenario,SSP,Production,2020,2030,2040,2050
CO2,Central Europe,SSP1,localprod,8.065448142,13.28468648,25.34852506,33.28760462
CO2,Central Europe,SSP2,localprod,7.948273921,11.48574883,20.65908347,33.11556844
CO2,Central Europe,SSP3,localprod,8.020185201,11.51778068,15.3554879,19.77985029
CO2,Central Latin America,SSP1,localprod,4.93112633,9.703975962,20.34806108,26.4353835
CO2,Central Latin America,SSP2,localprod,4.68750091,7.930579782,16.02573878,26.84805689
CO2,Central Latin America,SSP3,localprod,4.583161275,7.327718276,10.32053005,13.99735271
CO2,East Asia,SSP1,localprod,4.954300048,9.764275194,20.14689385,26.32463521
CO2,East Asia,SSP2,localprod,4.711267058,7.959769047,15.99399694,26.61653773
CO2,East Asia,SSP3,localprod,4.607475287,7.358813142,10.35912321,14.04396723
CO2,North Africa and Middle East,SSP1,localprod,5.187364706,10.40979949,22.55662247,29.77457002
CO2,North Africa and Middle East,SSP2,localprod,4.848580173,8.563353868,17.22201319,29.78760981
CO2,North Africa and Middle East,SSP3,localprod,4.733400081,7.68650985,11.02606886,15.15231931
CH4,Central Europe,SSP1,localprod,41.82633587,67.25191801,123.2045454,162.4003018
CH4,Central Europe,SSP2,localprod,41.43874989,59.33586404,102.2087891,161.4872173
CH4,Central Europe,SSP3,localprod,41.7419194,59.98543999,79.59682869,102.3578963
CH4,Central Latin America,SSP1,localprod,24.99700368,48.25263779,91.07490206,112.9837598
CH4,Central Latin America,SSP2,localprod,23.83621177,40.17481191,76.52990522,120.5035725
CH4,Central Latin America,SSP3,localprod,23.13962601,37.14461198,52.25673133,71.13103396
CH4,East Asia,SSP1,localprod,24.97544552,48.33472082,89.87141877,111.8543138
CH4,East Asia,SSP2,localprod,23.81410248,40.14765758,76.13620948,119.1511483
CH4,East Asia,SSP3,localprod,23.11700705,37.1156849,52.2208287,71.08766918
CH4,North Africa and Middle East,SSP1,localprod,25.58288683,50.32929122,98.20901184,123.7940534
CH4,North Africa and Middle East,SSP2,localprod,24.05799224,41.94580796,80.1833813,129.9066332
CH4,North Africa and Middle East,SSP3,localprod,23.20974818,37.9936108,54.1622144,74.26781732
N2O,Central Europe,SSP1,localprod,18.30807517,29.27755556,53.66638152,70.98610616
N2O,Central Europe,SSP2,localprod,18.15347116,25.88912601,44.41925297,70.2897341
N2O,Central Europe,SSP3,localprod,18.30794717,26.18421104,34.76274486,44.61352771
N2O,Central Latin America,SSP1,localprod,11.18815762,21.38556737,40.92988335,51.51744295
N2O,Central Latin America,SSP2,localprod,10.69663805,17.85530801,33.94275224,54.09721421
N2O,Central Latin America,SSP3,localprod,10.40779062,16.54884557,23.22866161,31.50551979
N2O,East Asia,SSP1,localprod,11.18863443,21.428104,40.38663731,51.04129644
N2O,East Asia,SSP2,localprod,10.69712705,17.85590859,33.7725463,53.48429449
N2O,East Asia,SSP3,localprod,10.40829089,16.54948535,23.22945567,31.50647889
N2O,North Africa and Middle East,SSP1,localprod,11.49097033,22.39712467,44.40079906,56.75352092
N2O,North Africa and Middle East,SSP2,localprod,10.82983506,18.71801839,35.70686953,58.66948871
N2O,North Africa and Middle East,SSP3,localprod,10.47981238,16.98270917,24.17029832,33.04085973
